DIDE_CODE,prop_gamb_ss,prop_arab,prop_fun,seasonal_a0,seasonal_a1,seasonal_b1,seasonal_a2,seasonal_b2,seasonal_a3,seasonal_b3,itn_cov1,itn_cov2,itn_cov3,itn_cov4,itn_cov5,itn_cov6,itn_cov7,itn_cov8,itn_cov9,itn_cov10,itn_cov11,itn_cov12,itn_cov13,itn_cov14,itn_cov15,itn_cov16,itn_cov17,itn_cov18,itn_cov19,itn_cov20,irs_cov1,irs_cov2,irs_cov3,irs_cov4,irs_cov5,irs_cov6,irs_cov7,irs_cov8,irs_cov9,irs_cov10,irs_cov11,irs_cov12,irs_cov13,irs_cov14,irs_cov15,irs_cov16,irs_cov17,irs_cov18,irs_cov19,irs_cov20,prev,prev_years,prev_age0,prev_age1,drug_cov_0_0,drug_cov_1_0,ppu,ppr,gamb_ss_Q0,irs_dif_gamb_ss,gamb_ss_Q_in,gamb_ss_Q_bed,arab_Q0,irs_dif_arab,arab_Q_in,arab_Q_bed,fun_Q0,irs_dif_fun,fun_Q_in,fun_Q_bed,draw,total_M
1,0.45,0.05,0.5,0.2860522,0.2065394,0.1739324,-0.0739296,-0.0727086,-9.51E-04,-0.1159253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9,3,0,5,0.1724358,0.4768632,0.4416748,0.4887121,0.92,0.813,0.9,0.85,0.71,0.422,0.86,0.8,0.94,0.813,0.87,0.78,0,489.4018106
2,0.45,0.05,0.5,0.2860522,0.2065394,0.1739324,-0.0739296,-0.0727086,-9.51E-04,-0.1159253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9,3,0,5,0.1724358,0.4768632,0.4416748,0.4887121,0.92,0.813,0.9,0.85,0.71,0.422,0.86,0.8,0.94,0.813,0.87,0.78,0,507.5988121
3,0.45,0.05,0.5,0.2860522,0.2065394,0.1739324,-0.0739296,-0.0727086,-9.51E-04,-0.1159253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9,3,0,5,0.1724358,0.4768632,0.4416748,0.4887121,0.92,0.813,0.9,0.85,0.71,0.422,0.86,0.8,0.94,0.813,0.87,0.78,0,512.5218102
4,0.45,0.05,0.5,0.2860522,0.2065394,0.1739324,-0.0739296,-0.0727086,-9.51E-04,-0.1159253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9,3,0,5,0.1724358,0.4768632,0.4416748,0.4887121,0.92,0.813,0.9,0.85,0.71,0.422,0.86,0.8,0.94,0.813,0.87,0.78,0,501.8627427
5,0.45,0.05,0.5,0.2860522,0.2065394,0.1739324,-0.0739296,-0.0727086,-9.51E-04,-0.1159253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9,3,0,5,0.1724358,0.4768632,0.4416748,0.4887121,0.92,0.813,0.9,0.85,0.71,0.422,0.86,0.8,0.94,0.813,0.87,0.78,0,496.6604615
6,0.45,0.05,0.5,0.2860522,0.2065394,0.1739324,-0.0739296,-0.0727086,-9.51E-04,-0.1159253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9,3,0,5,0.1724358,0.4768632,0.4416748,0.4887121,0.92,0.813,0.9,0.85,0.71,0.422,0.86,0.8,0.94,0.813,0.87,0.78,0,504.2690856
7,0.45,0.05,0.5,0.2860522,0.2065394,0.1739324,-0.0739296,-0.0727086,-9.51E-04,-0.1159253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9,3,0,5,0.1724358,0.4768632,0.4416748,0.4887121,0.92,0.813,0.9,0.85,0.71,0.422,0.86,0.8,0.94,0.813,0.87,0.78,0,507.8967284
8,0.45,0.05,0.5,0.2860522,0.2065394,0.1739324,-0.0739296,-0.0727086,-9.51E-04,-0.1159253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9,3,0,5,0.1724358,0.4768632,0.4416748,0.4887121,0.92,0.813,0.9,0.85,0.71,0.422,0.86,0.8,0.94,0.813,0.87,0.78,0,491.1348563
9,0.45,0.05,0.5,0.2860522,0.2065394,0.1739324,-0.0739296,-0.0727086,-9.51E-04,-0.1159253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9,3,0,5,0.1724358,0.4768632,0.4416748,0.4887121,0.92,0.813,0.9,0.85,0.71,0.422,0.86,0.8,0.94,0.813,0.87,0.78,0,508.9755368
10,0.45,0.05,0.5,0.2860522,0.2065394,0.1739324,-0.0739296,-0.0727086,-9.51E-04,-0.1159253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9,3,0,5,0.1724358,0.4768632,0.4416748,0.4887121,0.92,0.813,0.9,0.85,0.71,0.422,0.86,0.8,0.94,0.813,0.87,0.78,0,481.3210974
