DIDE_CODE,prop_gamb_ss,prop_arab,prop_fun,seasonal_a0,seasonal_a1,seasonal_b1,seasonal_a2,seasonal_b2,seasonal_a3,seasonal_b3,itn_cov1,itn_cov2,itn_cov3,itn_cov4,itn_cov5,itn_cov6,itn_cov7,itn_cov8,itn_cov9,itn_cov10,itn_cov11,itn_cov12,itn_cov13,itn_cov14,itn_cov15,itn_cov16,itn_cov17,itn_cov18,itn_cov19,itn_cov20,irs_cov1,irs_cov2,irs_cov3,irs_cov4,irs_cov5,irs_cov6,irs_cov7,irs_cov8,irs_cov9,irs_cov10,irs_cov11,irs_cov12,irs_cov13,irs_cov14,irs_cov15,irs_cov16,irs_cov17,irs_cov18,irs_cov19,irs_cov20,prev,prev_years,prev_age0,prev_age1,drug_cov_0_0,drug_cov_1_0,ppu,ppr,fpr,fpu,gamb_ss_Q0,irs_dif_gamb_ss,gamb_ss_Q_in,gamb_ss_Q_bed,arab_Q0,irs_dif_arab,arab_Q_in,arab_Q_bed,fun_Q0,irs_dif_fun,fun_Q_in,fun_Q_bed,draw,total_M
11,0.916,0.046,0.038,0.2846,0.1479,0.1269,-0.0998,-0.0327,0.021,-0.0562,0,0,0,0.0174,0.0205,0.0585,0.1645,0.1908,0.2278,0.2655,0.3434,0.4979,0.6379,0.6296,0.7382,0.4745,0.3336,0.342474836,0.351349671,0.408719407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.681889003,3,0,14,0.1309,0.1632,0.4873,0.2495,0.4864,0.3547,0.92,0.813,0.9,0.85,0.71,0.422,0.86,0.8,0.94,0.813,0.87,0.78,0,138.3624075
12,0.916,0.046,0.038,0.2846,0.1479,0.1269,-0.0998,-0.0327,0.021,-0.0562,0,0,0,0.0174,0.0205,0.0585,0.1645,0.1908,0.2278,0.2655,0.3434,0.4979,0.6379,0.6296,0.7382,0.4745,0.3336,0.345181908,0.356763816,0.402813044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.695584161,3,0,14,0.1309,0.1632,0.4873,0.2495,0.4864,0.3547,0.92,0.813,0.9,0.85,0.71,0.422,0.86,0.8,0.94,0.813,0.87,0.78,0,156.246549
13,0.916,0.046,0.038,0.2846,0.1479,0.1269,-0.0998,-0.0327,0.021,-0.0562,0,0,0,0.0174,0.0205,0.0585,0.1645,0.1908,0.2278,0.2655,0.3434,0.4979,0.6379,0.6296,0.7382,0.4745,0.3336,0.355693189,0.377786377,0.388500605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.683641276,3,0,14,0.1309,0.1632,0.4873,0.2495,0.4864,0.3547,0.92,0.813,0.9,0.85,0.71,0.422,0.86,0.8,0.94,0.813,0.87,0.78,0,113.706035
14,0.916,0.046,0.038,0.2846,0.1479,0.1269,-0.0998,-0.0327,0.021,-0.0562,0,0,0,0.0174,0.0205,0.0585,0.1645,0.1908,0.2278,0.2655,0.3434,0.4979,0.6379,0.6296,0.7382,0.4745,0.3336,0.348427436,0.363254871,0.371308235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.673679079,3,0,14,0.1309,0.1632,0.4873,0.2495,0.4864,0.3547,0.92,0.813,0.9,0.85,0.71,0.422,0.86,0.8,0.94,0.813,0.87,0.78,0,170.524743
15,0.916,0.046,0.038,0.2846,0.1479,0.1269,-0.0998,-0.0327,0.021,-0.0562,0,0,0,0.0174,0.0205,0.0585,0.1645,0.1908,0.2278,0.2655,0.3434,0.4979,0.6379,0.6296,0.7382,0.4745,0.3336,0.351124265,0.368648531,0.413879139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.688162572,3,0,14,0.1309,0.1632,0.4873,0.2495,0.4864,0.3547,0.92,0.813,0.9,0.85,0.71,0.422,0.86,0.8,0.94,0.813,0.87,0.78,0,164.9406822
16,0.916,0.046,0.038,0.2846,0.1479,0.1269,-0.0998,-0.0327,0.021,-0.0562,0,0,0,0.0174,0.0205,0.0585,0.1645,0.1908,0.2278,0.2655,0.3434,0.4979,0.6379,0.6296,0.7382,0.4745,0.3336,0.358989802,0.384379605,0.346242614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.669273622,3,0,14,0.1309,0.1632,0.4873,0.2495,0.4864,0.3547,0.92,0.813,0.9,0.85,0.71,0.422,0.86,0.8,0.94,0.813,0.87,0.78,0,125.4324639
17,0.916,0.046,0.038,0.2846,0.1479,0.1269,-0.0998,-0.0327,0.021,-0.0562,0,0,0,0.0174,0.0205,0.0585,0.1645,0.1908,0.2278,0.2655,0.3434,0.4979,0.6379,0.6296,0.7382,0.4745,0.3336,0.341753443,0.349906886,0.409592056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.678020365,3,0,14,0.1309,0.1632,0.4873,0.2495,0.4864,0.3547,0.92,0.813,0.9,0.85,0.71,0.422,0.86,0.8,0.94,0.813,0.87,0.78,0,137.7755341
18,0.916,0.046,0.038,0.2846,0.1479,0.1269,-0.0998,-0.0327,0.021,-0.0562,0,0,0,0.0174,0.0205,0.0585,0.1645,0.1908,0.2278,0.2655,0.3434,0.4979,0.6379,0.6296,0.7382,0.4745,0.3336,0.362043936,0.390487872,0.379475207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.685832606,3,0,14,0.1309,0.1632,0.4873,0.2495,0.4864,0.3547,0.92,0.813,0.9,0.85,0.71,0.422,0.86,0.8,0.94,0.813,0.87,0.78,0,121.4488681
19,0.916,0.046,0.038,0.2846,0.1479,0.1269,-0.0998,-0.0327,0.021,-0.0562,0,0,0,0.0174,0.0205,0.0585,0.1645,0.1908,0.2278,0.2655,0.3434,0.4979,0.6379,0.6296,0.7382,0.4745,0.3336,0.352100461,0.370600923,0.394316641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.672376912,3,0,14,0.1309,0.1632,0.4873,0.2495,0.4864,0.3547,0.92,0.813,0.9,0.85,0.71,0.422,0.86,0.8,0.94,0.813,0.87,0.78,0,164.2370947
20,0.916,0.046,0.038,0.2846,0.1479,0.1269,-0.0998,-0.0327,0.021,-0.0562,0,0,0,0.0174,0.0205,0.0585,0.1645,0.1908,0.2278,0.2655,0.3434,0.4979,0.6379,0.6296,0.7382,0.4745,0.3336,0.331736611,0.329873222,0.418647665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.667227058,3,0,14,0.1309,0.1632,0.4873,0.2495,0.4864,0.3547,0.92,0.813,0.9,0.85,0.71,0.422,0.86,0.8,0.94,0.813,0.87,0.78,0,153.0906
