DIDE_CODE,prop_gamb_ss,prop_arab,prop_fun,seasonal_a0,seasonal_a1,seasonal_b1,seasonal_a2,seasonal_b2,seasonal_a3,seasonal_b3,itn_cov1,itn_cov2,itn_cov3,itn_cov4,itn_cov5,itn_cov6,itn_cov7,itn_cov8,itn_cov9,itn_cov10,itn_cov11,itn_cov12,itn_cov13,itn_cov14,itn_cov15,itn_cov16,itn_cov17,itn_cov18,itn_cov19,itn_cov20,irs_cov1,irs_cov2,irs_cov3,irs_cov4,irs_cov5,irs_cov6,irs_cov7,irs_cov8,irs_cov9,irs_cov10,irs_cov11,irs_cov12,irs_cov13,irs_cov14,irs_cov15,irs_cov16,irs_cov17,irs_cov18,irs_cov19,irs_cov20,prev,prev_years,prev_age0,prev_age1,drug_cov_0_0,drug_cov_1_0,ppu,ppr,gamb_ss_Q0,irs_dif_gamb_ss,gamb_ss_Q_in,gamb_ss_Q_bed,arab_Q0,irs_dif_arab,arab_Q_in,arab_Q_bed,fun_Q0,irs_dif_fun,fun_Q_in,fun_Q_bed,draw,total_M,sites
12,0.66,0,0.34,0.2854889,0.2685007,0.09308475,-0.05130384,0.06080074,-0.05664451,-0.007304213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0504,0.0111,0.0153,0,0.0015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.84,3,0,5,0.2406391,0.04576095,0.3125,0.31185,0.92,0.813,0.9,0.85,0.71,0.422,0.86,0.8,0.94,0.813,0.87,0.78,0,357.6292584,1
13,0.66,0,0.34,0.2854889,0.2685007,0.09308475,-0.05130384,0.06080074,-0.05664451,-0.007304213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0504,0.0111,0.0153,0,0.0015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.84,3,0,5,0.2406391,0.04576095,0.3125,0.31185,0.92,0.813,0.9,0.85,0.71,0.422,0.86,0.8,0.94,0.813,0.87,0.78,0,336.6100702,1
14,0.66,0,0.34,0.2854889,0.2685007,0.09308475,-0.05130384,0.06080074,-0.05664451,-0.007304213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0504,0.0111,0.0153,0,0.0015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.84,3,0,5,0.2406391,0.04576095,0.3125,0.31185,0.92,0.813,0.9,0.85,0.71,0.422,0.86,0.8,0.94,0.813,0.87,0.78,0,358.9306617,1
15,0.66,0,0.34,0.2854889,0.2685007,0.09308475,-0.05130384,0.06080074,-0.05664451,-0.007304213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0504,0.0111,0.0153,0,0.0015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.84,3,0,5,0.2406391,0.04576095,0.3125,0.31185,0.92,0.813,0.9,0.85,0.71,0.422,0.86,0.8,0.94,0.813,0.87,0.78,0,338.6714934,1
16,0.66,0,0.34,0.2854889,0.2685007,0.09308475,-0.05130384,0.06080074,-0.05664451,-0.007304213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0504,0.0111,0.0153,0,0.0015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.84,3,0,5,0.2406391,0.04576095,0.3125,0.31185,0.92,0.813,0.9,0.85,0.71,0.422,0.86,0.8,0.94,0.813,0.87,0.78,0,333.6565108,1
17,0.66,0,0.34,0.2854889,0.2685007,0.09308475,-0.05130384,0.06080074,-0.05664451,-0.007304213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0504,0.0111,0.0153,0,0.0015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.84,3,0,5,0.2406391,0.04576095,0.3125,0.31185,0.92,0.813,0.9,0.85,0.71,0.422,0.86,0.8,0.94,0.813,0.87,0.78,0,371.0133479,1
18,0.66,0,0.34,0.2854889,0.2685007,0.09308475,-0.05130384,0.06080074,-0.05664451,-0.007304213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0504,0.0111,0.0153,0,0.0015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.84,3,0,5,0.2406391,0.04576095,0.3125,0.31185,0.92,0.813,0.9,0.85,0.71,0.422,0.86,0.8,0.94,0.813,0.87,0.78,0,346.1276329,1
19,0.66,0,0.34,0.2854889,0.2685007,0.09308475,-0.05130384,0.06080074,-0.05664451,-0.007304213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0504,0.0111,0.0153,0,0.0015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.84,3,0,5,0.2406391,0.04576095,0.3125,0.31185,0.92,0.813,0.9,0.85,0.71,0.422,0.86,0.8,0.94,0.813,0.87,0.78,0,365.4963475,1
20,0.66,0,0.34,0.2854889,0.2685007,0.09308475,-0.05130384,0.06080074,-0.05664451,-0.007304213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0504,0.0111,0.0153,0,0.0015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.84,3,0,5,0.2406391,0.04576095,0.3125,0.31185,0.92,0.813,0.9,0.85,0.71,0.422,0.86,0.8,0.94,0.813,0.87,0.78,0,364.8495569,1
21,0.66,0,0.34,0.2854889,0.2685007,0.09308475,-0.05130384,0.06080074,-0.05664451,-0.007304213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0504,0.0111,0.0153,0,0.0015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.84,3,0,5,0.2406391,0.04576095,0.3125,0.31185,0.92,0.813,0.9,0.85,0.71,0.422,0.86,0.8,0.94,0.813,0.87,0.78,0,354.4362439,1
22,0.66,0,0.34,0.2854889,0.2685007,0.09308475,-0.05130384,0.06080074,-0.05664451,-0.007304213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0504,0.0111,0.0153,0,0.0015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.84,3,0,5,0.2406391,0.04576095,0.3125,0.31185,0.92,0.813,0.9,0.85,0.71,0.422,0.86,0.8,0.94,0.813,0.87,0.78,0,365.6994502,1
23,0.66,0,0.34,0.2854889,0.2685007,0.09308475,-0.05130384,0.06080074,-0.05664451,-0.007304213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0504,0.0111,0.0153,0,0.0015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.84,3,0,5,0.2406391,0.04576095,0.3125,0.31185,0.92,0.813,0.9,0.85,0.71,0.422,0.86,0.8,0.94,0.813,0.87,0.78,0,341.8581091,1
24,0.66,0,0.34,0.2854889,0.2685007,0.09308475,-0.05130384,0.06080074,-0.05664451,-0.007304213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0504,0.0111,0.0153,0,0.0015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.84,3,0,5,0.2406391,0.04576095,0.3125,0.31185,0.92,0.813,0.9,0.85,0.71,0.422,0.86,0.8,0.94,0.813,0.87,0.78,0,378.9768711,1
25,0.66,0,0.34,0.2854889,0.2685007,0.09308475,-0.05130384,0.06080074,-0.05664451,-0.007304213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0504,0.0111,0.0153,0,0.0015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.84,3,0,5,0.2406391,0.04576095,0.3125,0.31185,0.92,0.813,0.9,0.85,0.71,0.422,0.86,0.8,0.94,0.813,0.87,0.78,0,359.0846619,1
26,0.66,0,0.34,0.2854889,0.2685007,0.09308475,-0.05130384,0.06080074,-0.05664451,-0.007304213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0504,0.0111,0.0153,0,0.0015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.84,3,0,5,0.2406391,0.04576095,0.3125,0.31185,0.92,0.813,0.9,0.85,0.71,0.422,0.86,0.8,0.94,0.813,0.87,0.78,0,332.488933,1
27,0.66,0,0.34,0.2854889,0.2685007,0.09308475,-0.05130384,0.06080074,-0.05664451,-0.007304213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0504,0.0111,0.0153,0,0.0015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.84,3,0,5,0.2406391,0.04576095,0.3125,0.31185,0.92,0.813,0.9,0.85,0.71,0.422,0.86,0.8,0.94,0.813,0.87,0.78,0,326.2048603,1
28,0.66,0,0.34,0.2854889,0.2685007,0.09308475,-0.05130384,0.06080074,-0.05664451,-0.007304213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0504,0.0111,0.0153,0,0.0015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.84,3,0,5,0.2406391,0.04576095,0.3125,0.31185,0.92,0.813,0.9,0.85,0.71,0.422,0.86,0.8,0.94,0.813,0.87,0.78,0,337.4573699,1
29,0.66,0,0.34,0.2854889,0.2685007,0.09308475,-0.05130384,0.06080074,-0.05664451,-0.007304213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0504,0.0111,0.0153,0,0.0015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.84,3,0,5,0.2406391,0.04576095,0.3125,0.31185,0.92,0.813,0.9,0.85,0.71,0.422,0.86,0.8,0.94,0.813,0.87,0.78,0,363.4005978,1
30,0.66,0,0.34,0.2854889,0.2685007,0.09308475,-0.05130384,0.06080074,-0.05664451,-0.007304213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0504,0.0111,0.0153,0,0.0015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.84,3,0,5,0.2406391,0.04576095,0.3125,0.31185,0.92,0.813,0.9,0.85,0.71,0.422,0.86,0.8,0.94,0.813,0.87,0.78,0,338.0014957,1
31,0.66,0,0.34,0.2854889,0.2685007,0.09308475,-0.05130384,0.06080074,-0.05664451,-0.007304213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0504,0.0111,0.0153,0,0.0015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.84,3,0,5,0.2406391,0.04576095,0.3125,0.31185,0.92,0.813,0.9,0.85,0.71,0.422,0.86,0.8,0.94,0.813,0.87,0.78,0,333.7421034,1
32,0.66,0,0.34,0.2854889,0.2685007,0.09308475,-0.05130384,0.06080074,-0.05664451,-0.007304213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0504,0.0111,0.0153,0,0.0015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.84,3,0,5,0.2406391,0.04576095,0.3125,0.31185,0.92,0.813,0.9,0.85,0.71,0.422,0.86,0.8,0.94,0.813,0.87,0.78,0,339.7026485,1
33,0.66,0,0.34,0.2854889,0.2685007,0.09308475,-0.05130384,0.06080074,-0.05664451,-0.007304213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0504,0.0111,0.0153,0,0.0015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.84,3,0,5,0.2406391,0.04576095,0.3125,0.31185,0.92,0.813,0.9,0.85,0.71,0.422,0.86,0.8,0.94,0.813,0.87,0.78,0,341.6509777,1
34,0.66,0,0.34,0.2854889,0.2685007,0.09308475,-0.05130384,0.06080074,-0.05664451,-0.007304213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0504,0.0111,0.0153,0,0.0015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.84,3,0,5,0.2406391,0.04576095,0.3125,0.31185,0.92,0.813,0.9,0.85,0.71,0.422,0.86,0.8,0.94,0.813,0.87,0.78,0,335.8022105,1
35,0.66,0,0.34,0.2854889,0.2685007,0.09308475,-0.05130384,0.06080074,-0.05664451,-0.007304213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0504,0.0111,0.0153,0,0.0015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.84,3,0,5,0.2406391,0.04576095,0.3125,0.31185,0.92,0.813,0.9,0.85,0.71,0.422,0.86,0.8,0.94,0.813,0.87,0.78,0,348.9973889,1
36,0.66,0,0.34,0.2854889,0.2685007,0.09308475,-0.05130384,0.06080074,-0.05664451,-0.007304213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0504,0.0111,0.0153,0,0.0015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.84,3,0,5,0.2406391,0.04576095,0.3125,0.31185,0.92,0.813,0.9,0.85,0.71,0.422,0.86,0.8,0.94,0.813,0.87,0.78,0,352.4637994,1
37,0.66,0,0.34,0.2854889,0.2685007,0.09308475,-0.05130384,0.06080074,-0.05664451,-0.007304213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0504,0.0111,0.0153,0,0.0015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.84,3,0,5,0.2406391,0.04576095,0.3125,0.31185,0.92,0.813,0.9,0.85,0.71,0.422,0.86,0.8,0.94,0.813,0.87,0.78,0,347.0513751,1
38,0.66,0,0.34,0.2854889,0.2685007,0.09308475,-0.05130384,0.06080074,-0.05664451,-0.007304213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0504,0.0111,0.0153,0,0.0015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.84,3,0,5,0.2406391,0.04576095,0.3125,0.31185,0.92,0.813,0.9,0.85,0.71,0.422,0.86,0.8,0.94,0.813,0.87,0.78,0,351.6260587,1
39,0.66,0,0.34,0.2854889,0.2685007,0.09308475,-0.05130384,0.06080074,-0.05664451,-0.007304213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0504,0.0111,0.0153,0,0.0015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.84,3,0,5,0.2406391,0.04576095,0.3125,0.31185,0.92,0.813,0.9,0.85,0.71,0.422,0.86,0.8,0.94,0.813,0.87,0.78,0,339.7540454,1
40,0.66,0,0.34,0.2854889,0.2685007,0.09308475,-0.05130384,0.06080074,-0.05664451,-0.007304213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0504,0.0111,0.0153,0,0.0015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.84,3,0,5,0.2406391,0.04576095,0.3125,0.31185,0.92,0.813,0.9,0.85,0.71,0.422,0.86,0.8,0.94,0.813,0.87,0.78,0,344.2467773,1
41,0.66,0,0.34,0.2854889,0.2685007,0.09308475,-0.05130384,0.06080074,-0.05664451,-0.007304213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0504,0.0111,0.0153,0,0.0015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.84,3,0,5,0.2406391,0.04576095,0.3125,0.31185,0.92,0.813,0.9,0.85,0.71,0.422,0.86,0.8,0.94,0.813,0.87,0.78,0,346.7037551,1
42,0.66,0,0.34,0.2854889,0.2685007,0.09308475,-0.05130384,0.06080074,-0.05664451,-0.007304213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0504,0.0111,0.0153,0,0.0015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.84,3,0,5,0.2406391,0.04576095,0.3125,0.31185,0.92,0.813,0.9,0.85,0.71,0.422,0.86,0.8,0.94,0.813,0.87,0.78,0,341.119783,1
43,0.66,0,0.34,0.2854889,0.2685007,0.09308475,-0.05130384,0.06080074,-0.05664451,-0.007304213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0504,0.0111,0.0153,0,0.0015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.84,3,0,5,0.2406391,0.04576095,0.3125,0.31185,0.92,0.813,0.9,0.85,0.71,0.422,0.86,0.8,0.94,0.813,0.87,0.78,0,351.2171553,1
44,0.66,0,0.34,0.2854889,0.2685007,0.09308475,-0.05130384,0.06080074,-0.05664451,-0.007304213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0504,0.0111,0.0153,0,0.0015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.84,3,0,5,0.2406391,0.04576095,0.3125,0.31185,0.92,0.813,0.9,0.85,0.71,0.422,0.86,0.8,0.94,0.813,0.87,0.78,0,329.682034,1
45,0.66,0,0.34,0.2854889,0.2685007,0.09308475,-0.05130384,0.06080074,-0.05664451,-0.007304213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0504,0.0111,0.0153,0,0.0015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.84,3,0,5,0.2406391,0.04576095,0.3125,0.31185,0.92,0.813,0.9,0.85,0.71,0.422,0.86,0.8,0.94,0.813,0.87,0.78,0,352.7707656,1
46,0.66,0,0.34,0.2854889,0.2685007,0.09308475,-0.05130384,0.06080074,-0.05664451,-0.007304213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0504,0.0111,0.0153,0,0.0015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.84,3,0,5,0.2406391,0.04576095,0.3125,0.31185,0.92,0.813,0.9,0.85,0.71,0.422,0.86,0.8,0.94,0.813,0.87,0.78,0,346.6772985,1
47,0.66,0,0.34,0.2854889,0.2685007,0.09308475,-0.05130384,0.06080074,-0.05664451,-0.007304213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0504,0.0111,0.0153,0,0.0015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.84,3,0,5,0.2406391,0.04576095,0.3125,0.31185,0.92,0.813,0.9,0.85,0.71,0.422,0.86,0.8,0.94,0.813,0.87,0.78,0,361.3503245,1
48,0.66,0,0.34,0.2854889,0.2685007,0.09308475,-0.05130384,0.06080074,-0.05664451,-0.007304213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0504,0.0111,0.0153,0,0.0015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.84,3,0,5,0.2406391,0.04576095,0.3125,0.31185,0.92,0.813,0.9,0.85,0.71,0.422,0.86,0.8,0.94,0.813,0.87,0.78,0,367.8743141,1
49,0.66,0,0.34,0.2854889,0.2685007,0.09308475,-0.05130384,0.06080074,-0.05664451,-0.007304213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0504,0.0111,0.0153,0,0.0015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.84,3,0,5,0.2406391,0.04576095,0.3125,0.31185,0.92,0.813,0.9,0.85,0.71,0.422,0.86,0.8,0.94,0.813,0.87,0.78,0,347.1339483,1
50,0.66,0,0.34,0.2854889,0.2685007,0.09308475,-0.05130384,0.06080074,-0.05664451,-0.007304213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0504,0.0111,0.0153,0,0.0015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.84,3,0,5,0.2406391,0.04576095,0.3125,0.31185,0.92,0.813,0.9,0.85,0.71,0.422,0.86,0.8,0.94,0.813,0.87,0.78,0,327.8813258,1
51,0.66,0,0.34,0.2854889,0.2685007,0.09308475,-0.05130384,0.06080074,-0.05664451,-0.007304213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0504,0.0111,0.0153,0,0.0015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.84,3,0,5,0.2406391,0.04576095,0.3125,0.31185,0.92,0.813,0.9,0.85,0.71,0.422,0.86,0.8,0.94,0.813,0.87,0.78,0,334.9070008,1
52,0.66,0,0.34,0.2854889,0.2685007,0.09308475,-0.05130384,0.06080074,-0.05664451,-0.007304213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0504,0.0111,0.0153,0,0.0015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.84,3,0,5,0.2406391,0.04576095,0.3125,0.31185,0.92,0.813,0.9,0.85,0.71,0.422,0.86,0.8,0.94,0.813,0.87,0.78,0,359.4224095,1
53,0.66,0,0.34,0.2854889,0.2685007,0.09308475,-0.05130384,0.06080074,-0.05664451,-0.007304213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0504,0.0111,0.0153,0,0.0015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.84,3,0,5,0.2406391,0.04576095,0.3125,0.31185,0.92,0.813,0.9,0.85,0.71,0.422,0.86,0.8,0.94,0.813,0.87,0.78,0,350.9624179,1
54,0.66,0,0.34,0.2854889,0.2685007,0.09308475,-0.05130384,0.06080074,-0.05664451,-0.007304213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0504,0.0111,0.0153,0,0.0015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.84,3,0,5,0.2406391,0.04576095,0.3125,0.31185,0.92,0.813,0.9,0.85,0.71,0.422,0.86,0.8,0.94,0.813,0.87,0.78,0,361.3718915,1
