DIDE_CODE,prop_gamb_ss,prop_arab,prop_fun,seasonal_a0,seasonal_a1,seasonal_b1,seasonal_a2,seasonal_b2,seasonal_a3,seasonal_b3,itn_cov1,itn_cov2,itn_cov3,itn_cov4,itn_cov5,itn_cov6,itn_cov7,itn_cov8,itn_cov9,itn_cov10,itn_cov11,itn_cov12,itn_cov13,itn_cov14,itn_cov15,itn_cov16,itn_cov17,itn_cov18,itn_cov19,itn_cov20,irs_cov1,irs_cov2,irs_cov3,irs_cov4,irs_cov5,irs_cov6,irs_cov7,irs_cov8,irs_cov9,irs_cov10,irs_cov11,irs_cov12,irs_cov13,irs_cov14,irs_cov15,irs_cov16,irs_cov17,irs_cov18,irs_cov19,irs_cov20,prev,prev_years,prev_age0,prev_age1,drug_cov_0_0,drug_cov_1_0,ppu,ppr,gamb_ss_Q0,irs_dif_gamb_ss,gamb_ss_Q_in,gamb_ss_Q_bed,arab_Q0,irs_dif_arab,arab_Q_in,arab_Q_bed,fun_Q0,irs_dif_fun,fun_Q_in,fun_Q_bed,draw,total_M
1,0.72,0.38,0,0.2850274,0.126889835,0.44727616,-0.234342197,0.147456009,-0.05363819,-0.07387694,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0514,0.0122,0.0178,0,0.0485,0.0911,0.2089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.395,3,1,4,0.06814425,0.4046557,0.3846154,0.2898587,0.92,0.813,0.9,0.85,0.71,0.422,0.86,0.8,0.94,0.813,0.87,0.78,0,12.80824586
2,0.72,0.38,0,0.2850274,0.126889835,0.44727616,-0.234342197,0.147456009,-0.05363819,-0.07387694,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0514,0.0122,0.0178,0,0.0485,0.0911,0.2089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.395,3,1,4,0.06814425,0.4046557,0.3846154,0.2898587,0.92,0.813,0.9,0.85,0.71,0.422,0.86,0.8,0.94,0.813,0.87,0.78,0,21.19349998
3,0.72,0.38,0,0.2850274,0.126889835,0.44727616,-0.234342197,0.147456009,-0.05363819,-0.07387694,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0514,0.0122,0.0178,0,0.0485,0.0911,0.2089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.395,3,1,4,0.06814425,0.4046557,0.3846154,0.2898587,0.92,0.813,0.9,0.85,0.71,0.422,0.86,0.8,0.94,0.813,0.87,0.78,0,18.09720417
4,0.72,0.38,0,0.2850274,0.126889835,0.44727616,-0.234342197,0.147456009,-0.05363819,-0.07387694,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0514,0.0122,0.0178,0,0.0485,0.0911,0.2089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.395,3,1,4,0.06814425,0.4046557,0.3846154,0.2898587,0.92,0.813,0.9,0.85,0.71,0.422,0.86,0.8,0.94,0.813,0.87,0.78,0,20.61695152
5,0.72,0.38,0,0.2850274,0.126889835,0.44727616,-0.234342197,0.147456009,-0.05363819,-0.07387694,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0514,0.0122,0.0178,0,0.0485,0.0911,0.2089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.395,3,1,4,0.06814425,0.4046557,0.3846154,0.2898587,0.92,0.813,0.9,0.85,0.71,0.422,0.86,0.8,0.94,0.813,0.87,0.78,0,19.57391268
6,0.72,0.38,0,0.2850274,0.126889835,0.44727616,-0.234342197,0.147456009,-0.05363819,-0.07387694,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0514,0.0122,0.0178,0,0.0485,0.0911,0.2089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.395,3,1,4,0.06814425,0.4046557,0.3846154,0.2898587,0.92,0.813,0.9,0.85,0.71,0.422,0.86,0.8,0.94,0.813,0.87,0.78,0,20.47387717
7,0.72,0.38,0,0.2850274,0.126889835,0.44727616,-0.234342197,0.147456009,-0.05363819,-0.07387694,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0514,0.0122,0.0178,0,0.0485,0.0911,0.2089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.395,3,1,4,0.06814425,0.4046557,0.3846154,0.2898587,0.92,0.813,0.9,0.85,0.71,0.422,0.86,0.8,0.94,0.813,0.87,0.78,0,19.53821213
8,0.72,0.38,0,0.2850274,0.126889835,0.44727616,-0.234342197,0.147456009,-0.05363819,-0.07387694,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0514,0.0122,0.0178,0,0.0485,0.0911,0.2089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.395,3,1,4,0.06814425,0.4046557,0.3846154,0.2898587,0.92,0.813,0.9,0.85,0.71,0.422,0.86,0.8,0.94,0.813,0.87,0.78,0,15.59951355
9,0.72,0.38,0,0.2850274,0.126889835,0.44727616,-0.234342197,0.147456009,-0.05363819,-0.07387694,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0514,0.0122,0.0178,0,0.0485,0.0911,0.2089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.395,3,1,4,0.06814425,0.4046557,0.3846154,0.2898587,0.92,0.813,0.9,0.85,0.71,0.422,0.86,0.8,0.94,0.813,0.87,0.78,0,19.88573605
10,0.72,0.38,0,0.2850274,0.126889835,0.44727616,-0.234342197,0.147456009,-0.05363819,-0.07387694,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0514,0.0122,0.0178,0,0.0485,0.0911,0.2089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.395,3,1,4,0.06814425,0.4046557,0.3846154,0.2898587,0.92,0.813,0.9,0.85,0.71,0.422,0.86,0.8,0.94,0.813,0.87,0.78,0,13.42899718
