DIDE_CODE,prop_gamb_ss,prop_arab,prop_fun,seasonal_a0,seasonal_a1,seasonal_b1,seasonal_a2,seasonal_b2,seasonal_a3,seasonal_b3,itn_cov1,itn_cov2,itn_cov3,itn_cov4,itn_cov5,itn_cov6,itn_cov7,itn_cov8,itn_cov9,itn_cov10,itn_cov11,itn_cov12,itn_cov13,itn_cov14,itn_cov15,itn_cov16,itn_cov17,itn_cov18,itn_cov19,itn_cov20,irs_cov1,irs_cov2,irs_cov3,irs_cov4,irs_cov5,irs_cov6,irs_cov7,irs_cov8,irs_cov9,irs_cov10,irs_cov11,irs_cov12,irs_cov13,irs_cov14,irs_cov15,irs_cov16,irs_cov17,irs_cov18,irs_cov19,irs_cov20,prev,prev_years,prev_age0,prev_age1,drug_cov_0_0,drug_cov_1_0,ppu,ppr,gamb_ss_Q0,irs_dif_gamb_ss,gamb_ss_Q_in,gamb_ss_Q_bed,arab_Q0,irs_dif_arab,arab_Q_in,arab_Q_bed,fun_Q0,irs_dif_fun,fun_Q_in,fun_Q_bed,draw,total_M
1,2.11E-01,0.711,0.078,0.2846,0.0066839,0.13842,0.08514623,0.0638461,0.03730025,0.04702939,0.0533,0.0115,0.0157,0,0.0307,0.044,0.0858,0.1759,0.4,0.5379,0.4333,0.4405,0.5477,0.5363,0.4681,0.469919286,0.469919286,0.469919286,0.469919286,0.469919286,0,0.0625,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.20125,0.2775,0.35375,0.43,0.3975,0,0,0,0,0,0.073106612,3,0,80,0.2665926,0.007038475,0.477672,0.4671036,0.89,0.813,0.3,0.28,0.59,0.422,0.86,0.8,0.59,0.813,0.87,0.78,0,2.50968
2,2.11E-01,0.711,0.078,0.2846,0.0066839,0.13842,0.08514623,0.0638461,0.03730025,0.04702939,0.0533,0.0115,0.0157,0,0.0307,0.044,0.0858,0.1759,0.4,0.5379,0.4333,0.4405,0.5477,0.5363,0.4681,0.476212926,0.476212926,0.476212926,0.476212926,0.476212926,0,0.0625,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.20125,0.2775,0.35375,0.43,0.3975,0,0,0,0,0,0.101526947,3,0,80,0.2665926,0.007038475,0.477672,0.4671036,0.89,0.813,0.3,0.28,0.59,0.422,0.86,0.8,0.59,0.813,0.87,0.78,0,2.50968
3,2.11E-01,0.711,0.078,0.2846,0.0066839,0.13842,0.08514623,0.0638461,0.03730025,0.04702939,0.0533,0.0115,0.0157,0,0.0307,0.044,0.0858,0.1759,0.4,0.5379,0.4333,0.4405,0.5477,0.5363,0.4681,0.530637975,0.530637975,0.530637975,0.530637975,0.530637975,0,0.0625,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.20125,0.2775,0.35375,0.43,0.3975,0,0,0,0,0,0.089819333,3,0,80,0.2665926,0.007038475,0.477672,0.4671036,0.89,0.813,0.3,0.28,0.59,0.422,0.86,0.8,0.59,0.813,0.87,0.78,0,2.50968
4,2.11E-01,0.711,0.078,0.2846,0.0066839,0.13842,0.08514623,0.0638461,0.03730025,0.04702939,0.0533,0.0115,0.0157,0,0.0307,0.044,0.0858,0.1759,0.4,0.5379,0.4333,0.4405,0.5477,0.5363,0.4681,0.473155307,0.473155307,0.473155307,0.473155307,0.473155307,0,0.0625,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.20125,0.2775,0.35375,0.43,0.3975,0,0,0,0,0,0.106758083,3,0,80,0.2665926,0.007038475,0.477672,0.4671036,0.89,0.813,0.3,0.28,0.59,0.422,0.86,0.8,0.59,0.813,0.87,0.78,0,2.50968
5,2.11E-01,0.711,0.078,0.2846,0.0066839,0.13842,0.08514623,0.0638461,0.03730025,0.04702939,0.0533,0.0115,0.0157,0,0.0307,0.044,0.0858,0.1759,0.4,0.5379,0.4333,0.4405,0.5477,0.5363,0.4681,0.473808237,0.473808237,0.473808237,0.473808237,0.473808237,0,0.0625,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.20125,0.2775,0.35375,0.43,0.3975,0,0,0,0,0,0.094494435,3,0,80,0.2665926,0.007038475,0.477672,0.4671036,0.89,0.813,0.3,0.28,0.59,0.422,0.86,0.8,0.59,0.813,0.87,0.78,0,2.50968
6,2.11E-01,0.711,0.078,0.2846,0.0066839,0.13842,0.08514623,0.0638461,0.03730025,0.04702939,0.0533,0.0115,0.0157,0,0.0307,0.044,0.0858,0.1759,0.4,0.5379,0.4333,0.4405,0.5477,0.5363,0.4681,0.492501583,0.492501583,0.492501583,0.492501583,0.492501583,0,0.0625,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.20125,0.2775,0.35375,0.43,0.3975,0,0,0,0,0,0.072772302,3,0,80,0.2665926,0.007038475,0.477672,0.4671036,0.89,0.813,0.3,0.28,0.59,0.422,0.86,0.8,0.59,0.813,0.87,0.78,0,2.50968
7,2.11E-01,0.711,0.078,0.2846,0.0066839,0.13842,0.08514623,0.0638461,0.03730025,0.04702939,0.0533,0.0115,0.0157,0,0.0307,0.044,0.0858,0.1759,0.4,0.5379,0.4333,0.4405,0.5477,0.5363,0.4681,0.473854862,0.473854862,0.473854862,0.473854862,0.473854862,0,0.0625,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.20125,0.2775,0.35375,0.43,0.3975,0,0,0,0,0,0.108574121,3,0,80,0.2665926,0.007038475,0.477672,0.4671036,0.89,0.813,0.3,0.28,0.59,0.422,0.86,0.8,0.59,0.813,0.87,0.78,0,2.50968
8,2.11E-01,0.711,0.078,0.2846,0.0066839,0.13842,0.08514623,0.0638461,0.03730025,0.04702939,0.0533,0.0115,0.0157,0,0.0307,0.044,0.0858,0.1759,0.4,0.5379,0.4333,0.4405,0.5477,0.5363,0.4681,0.503588146,0.503588146,0.503588146,0.503588146,0.503588146,0,0.0625,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.20125,0.2775,0.35375,0.43,0.3975,0,0,0,0,0,0.0825846,3,0,80,0.2665926,0.007038475,0.477672,0.4671036,0.89,0.813,0.3,0.28,0.59,0.422,0.86,0.8,0.59,0.813,0.87,0.78,0,2.50968
9,2.11E-01,0.711,0.078,0.2846,0.0066839,0.13842,0.08514623,0.0638461,0.03730025,0.04702939,0.0533,0.0115,0.0157,0,0.0307,0.044,0.0858,0.1759,0.4,0.5379,0.4333,0.4405,0.5477,0.5363,0.4681,0.493596553,0.493596553,0.493596553,0.493596553,0.493596553,0,0.0625,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.20125,0.2775,0.35375,0.43,0.3975,0,0,0,0,0,0.144483599,3,0,80,0.2665926,0.007038475,0.477672,0.4671036,0.89,0.813,0.3,0.28,0.59,0.422,0.86,0.8,0.59,0.813,0.87,0.78,0,2.50968
10,2.11E-01,0.711,0.078,0.2846,0.0066839,0.13842,0.08514623,0.0638461,0.03730025,0.04702939,0.0533,0.0115,0.0157,0,0.0307,0.044,0.0858,0.1759,0.4,0.5379,0.4333,0.4405,0.5477,0.5363,0.4681,0.498830814,0.498830814,0.498830814,0.498830814,0.498830814,0,0.0625,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.20125,0.2775,0.35375,0.43,0.3975,0,0,0,0,0,0.094927913,3,0,80,0.2665926,0.007038475,0.477672,0.4671036,0.89,0.813,0.3,0.28,0.59,0.422,0.86,0.8,0.59,0.813,0.87,0.78,0,2.50968
