"","PI","Intervention","MONTH_prev_observed","Obs_eff_mean","Obs_eff_min","Obs_eff_max","Pred_3_eff","Pred_3_eff_min","Pred_3_eff_max"
"1","Curtis","ITN",2,-0.00839328537170265,-0.00839328537170265,-0.00839328537170265,0.0437535981577433,0.0595095982482899,0.027585947408317
"2","Curtis","ITN",5,0.0715123094958968,0.0715123094958968,0.0715123094958968,0.0553269507715184,0.0713617543554632,0.0392992900316899
"3","Curtis","ITN",8,0.101591187270502,0.101591187270502,0.101591187270502,0.11952433757247,0.142428762192097,0.098528989633596
"4","Curtis","ITN",11,0.106666666666667,0.106666666666667,0.106666666666667,0.131455598820399,0.155671434837536,0.109353934851614
"5","Curtis","IRS",2,0.0863309352517985,0.0863309352517985,0.0863309352517985,0.21984231427388,0.23999138583447,0.198813472114392
"6","Curtis","IRS",5,0.0609613130128956,0.0609613130128956,0.0609613130128956,0.258031140368741,0.295917667019452,0.220562637271786
"7","Curtis","IRS",8,0.106487148102815,0.106487148102815,0.106487148102815,0.360015584571274,0.400141393353913,0.323326873062335
"8","Curtis","IRS",11,0.0562962962962963,0.0562962962962963,0.0562962962962963,0.541900189404487,0.577909192218335,0.504270454839826
"9","D'Alessandro","ITN",1,0.231607629427793,0.231607629427793,0.231607629427793,0.364754772410195,0.319429139775189,0.406599282011728
"10","D'Alessandro","ITN",1,0.309090909090909,0.309090909090909,0.309090909090909,0.425842755080807,0.378769161406673,0.472277172782132
"11","D'Alessandro","ITN",1,0.383720930232558,0.383720930232558,0.383720930232558,0.458853021525196,0.417391721872339,0.499150343847016
"12","D'Alessandro","ITN",1,0.191369606003752,0.191369606003752,0.191369606003752,0.186392599719973,0.151793374019973,0.219161562664966
"13","D'Alessandro","ITN",1,-0.588366890380313,-0.588366890380313,-0.588366890380313,0.126389166058113,0.100697625798887,0.148934135089478
"14","Henry","ITN",48,0.0476190476190475,0.122619047619048,-0.0357142857142857,-0.0233902551675704,-0.039578242741359,-0.00674175751172066
"15","Henry","ITN",48,0.173722627737226,0.226277372262774,0.121167883211679,0.419904798083067,0.384486360312266,0.452503427382782
"16","Kafy","ITN_IRS",21,0.2,0,0.6,-0.0459126579982072,-0.406667043868583,0.257299575558034
"17","Kafy","ITN_IRS",33,0.4,0.2,0.8,0.369197896437018,0.0249335426000349,0.654262491106966
"18","Marbiah","ITN",15,0.275210084033613,0.275210084033613,0.275210084033613,0.190644013896781,0.164477683451527,0.218394195652129
"19","Philips-Howard","ITN",22,0.367704280155642,0.367704280155642,0.367704280155642,0.374189421886163,0.427721371822376,NA
"20","Philips-Howard","ITN",40,0.135549872122762,0.135549872122762,0.135549872122762,0.149453455443349,0.253824899296644,NA
"21","Protopopoff","PBO_ITN",4,0.174774774774775,0.174774774774775,0.174774774774775,0.129084009169923,0.0590159789024033,0.224113137004614
"22","Protopopoff","PBO_ITN",9,0.437613019891501,0.437613019891501,0.437613019891501,0.154131903006253,0.070537508813004,0.259901086438662
"23","Protopopoff","PBO_ITN",16,0.343396226415094,0.343396226415094,0.343396226415094,0.0602573671068431,0.0175179826354119,0.125415595662713
"24","Protopopoff","PBO_ITN",21,0.325,0.325,0.325,0.0869595548816117,0.0264725253793615,0.17666364239874
"25","Protopopoff","ITN_IRS",4,0.304504504504505,0.304504504504505,0.304504504504505,0.234904627859745,0.192682616204642,0.279778169350724
"26","Protopopoff","ITN_IRS",9,0.522603978300181,0.522603978300181,0.522603978300181,0.474147049183475,0.419559850042852,0.52872263036711
"27","Protopopoff","ITN_IRS",16,0.247169811320755,0.247169811320755,0.247169811320755,0.077300985538204,0.0441688484797244,0.116160705490779
"28","Protopopoff","ITN_IRS",21,0.189705882352941,0.189705882352941,0.189705882352941,0.0340378808185637,-0.00576297690476211,0.081084406321984
"29","Protopopoff","PBO_ITN_IRS",4,0.324324324324324,0.324324324324324,0.324324324324324,0.376275882362655,0.302856057915628,0.482512491280147
"30","Protopopoff","PBO_ITN_IRS",9,0.482820976491863,0.482820976491863,0.482820976491863,0.607363648635736,0.536319131590814,0.695751172425041
"31","Protopopoff","PBO_ITN_IRS",16,0.450943396226415,0.450943396226415,0.450943396226415,0.244199621268471,0.147556968917734,0.413262032771946
"32","Protopopoff","PBO_ITN_IRS",21,0.357352941176471,0.357352941176471,0.357352941176471,0.201341277439097,0.108676122522764,0.349462799024748
"33","West","ITN_IRS",11,0.408695652173913,0.0580167342017714,0.533028745478774,0.453710804710234,0.381280810058651,0.520621685567431
"34","West","ITN_IRS",15,0.576666666666667,0.293188259439033,0.736228295924683,0.601878033684073,0.537674202690817,0.65854342443887
"35","West","ITN_IRS",19,0.441666666666667,0.0232781447318648,0.647908361703572,0.418544921969719,0.330463817033782,0.507029223770865
"36","Chaccour","ITN_IRS",17,0.209302325581395,0.209302325581395,0.209302325581395,0.426358133858072,0.302275574762747,0.628801840735298
"37","Staedke","PBO_ITN",12,0.262068965517241,0.262068965517241,0.262068965517241,0.0920068019820872,-0.087887060216175,0.278186898961422
"38","Staedke","PBO_ITN",18,0.184615384615385,0.184615384615385,0.184615384615385,0.14262124061724,-0.0376444509403557,0.333739059515087
"39","Staedke","PBO_ITN",24,0.157142857142857,0.157142857142857,0.157142857142857,0.105905315628735,-0.0659998987949017,0.293785449034716
"40","Nevill","ITN",20,0.571428571428571,0.571428571428571,0.571428571428571,0.426358133858072,0.302275574762747,0.628801840735298
"41","Nevill","ITN",24,0.52755905511811,0.52755905511811,0.52755905511811,0.427485707307237,0.308446747116611,0.6331172270614
"42","Nevill","ITN",27,0.321739130434783,0.321739130434783,0.321739130434783,0.439364665622511,0.310733366868257,0.651014650569903
"43","Bradley","IRS",3,0.0489130434782609,-0.320652173913043,0.331521739130435,-0.0394599947353247,-0.198298005690863,0.151534903543628
"44","Bradley","IRS",3,0.275862068965517,-0.064655172413793,0.521551724137931,-0.121020168847226,-0.289079488569333,0.0855280638544359
