"","PI","Intervention","Prev_obs","prev_obs_max","prev_obs_min","Prev_model","prev_model_max","prev_model_min"
"44","Protopopoff","PBO_ITN",0.348,0.348,0.348,0.7420115,0.771897925,0.68893815
"45","Protopopoff","PBO_ITN",0.459,0.459,0.459,0.6272535,0.664970975,0.5670808
"46","Protopopoff","ITN_IRS",0.386,0.386,0.386,0.530898,0.5516111,0.50703705
"47","Protopopoff","ITN_IRS",0.264,0.264,0.264,0.2958,0.320540575,0.2715532
"48","Protopopoff","ITN_IRS",0.399,0.399,0.399,0.7262695,0.748651025,0.69621145
"49","Protopopoff","ITN_IRS",0.551,0.551,0.551,0.659805,0.684850225,0.628903975
"50","Protopopoff","PBO_ITN_IRS",0.375,0.375,0.375,0.425199,0.4661797,0.35157335
"51","Protopopoff","PBO_ITN_IRS",0.286,0.286,0.286,0.2189885,0.253667025,0.1733201
"52","Protopopoff","PBO_ITN_IRS",0.291,0.291,0.291,0.603514,0.668963725,0.45844345
"53","Protopopoff","PBO_ITN_IRS",0.437,0.437,0.437,0.555289,0.6085541,0.4467973
"54","West","ITN",0.23,0.342,0.154,0.3045015,0.3290454,0.260605525
"55","West","ITN",0.3,0.434,0.202,0.3274115,0.35240915,0.293272175
"56","West","ITN",0.24,0.389,0.142,0.2701485,0.292183425,0.244245125
"57","West","ITN_IRS",0.136,0.214,0.083,0.1735845,0.19480015,0.153784175
"58","West","ITN_IRS",0.127,0.21,0.074,0.1365475,0.157817475,0.119502325
"59","West","ITN_IRS",0.134,0.234,0.073,0.160639,0.184762775,0.13927985
"60","Chaccour","ITN",0.43,0.43,0.43,0.4004955,0.438635925,0.32401735
"61","Chaccour","ITN_IRS",0.34,0.34,0.34,0.228273,0.282525825,0.1398031
"62","Staedke","ITN",0.145,0.145,0.145,0.214927,0.2530867,0.173521425
"63","Staedke","ITN",0.13,0.13,0.13,0.2321115,0.2724034,0.189742875
"64","Staedke","ITN",0.14,0.14,0.14,0.246656,0.286320975,0.20218925
"65","Staedke","PBO_ITN",0.107,0.107,0.107,0.186976,0.222143275,0.149212725
"66","Staedke","PBO_ITN",0.106,0.106,0.106,0.198559,0.23428395,0.159082825
"67","Staedke","PBO_ITN",0.118,0.118,0.118,0.2228695,0.260980575,0.1798151
"68","Nevill","None",0.392,0.392,0.392,0.4004955,0.438635925,0.32401735
"69","Nevill","None",0.254,0.254,0.254,0.351882,0.383204575,0.2892314
"70","Nevill","None",0.115,0.115,0.115,0.2614555,0.2921851,0.205489225
"71","Nevill","ITN",0.168,0.168,0.168,0.228273,0.282525825,0.1398031
"72","Nevill","ITN",0.12,0.12,0.12,0.2002015,0.2454318,0.121661775
"73","Nevill","ITN",0.078,0.078,0.078,0.146031,0.183855275,0.0856992
"74","Bradley","ITN",0.168,0.247,0.111,0.1189825,0.14938225,0.0872437775
"75","Bradley","ITN",0.232,0.323,0.16,0.1416795,0.1669364,0.115394675
