"","PI","Intervention","Prev_obs","prev_obs_max","prev_obs_min","Prev_model","prev_model_max","prev_model_min"
"1","Corbel","ITN",0.2,0.24,0.16,0.3216085,0.343746025,0.299113725
"2","Curtis","ITN_IRS",0.834,0.834,0.834,0.817077,0.8061871,0.82630185
"3","Curtis","ITN_IRS",0.853,0.853,0.853,0.82257,0.812142925,0.832223825
"4","Curtis","ITN_IRS",0.817,0.817,0.817,0.7512865,0.734340975,0.7656157
"5","Curtis","ITN_IRS",0.675,0.675,0.675,0.798826,0.783689075,0.811454075
"6","Curtis","ITN_IRS",0.841,0.841,0.841,0.781902,0.768842675,0.7940802
"7","Curtis","ITN_IRS",0.792,0.792,0.792,0.7771575,0.7633005,0.7905752
"8","Curtis","IRS",0.734,0.734,0.734,0.661326,0.6449104,0.6776844
"9","Curtis","IRS",0.603,0.603,0.603,0.694227,0.6764817,0.712479475
"10","Curtis","IRS",0.762,0.762,0.762,0.63756,0.6220473,0.65445275
"11","Curtis","IRS",0.801,0.801,0.801,0.60946,0.579900425,0.63987865
"12","Curtis","IRS",0.73,0.73,0.73,0.4801475,0.451335225,0.50873285
"13","Curtis","IRS",0.637,0.637,0.637,0.3653115,0.336598875,0.396172825
"14","D'Alessandro","None",0.367,0.367,0.367,0.3761555,0.39182245,0.359967
"15","D'Alessandro","None",0.33,0.33,0.33,0.3131895,0.327935025,0.297095025
"16","D'Alessandro","None",0.258,0.258,0.258,0.3828795,0.398108725,0.365752775
"17","D'Alessandro","None",0.533,0.533,0.533,0.5667155,0.583715375,0.5488922
"18","D'Alessandro","None",0.447,0.447,0.447,0.69468,0.7105006,0.680007475
"19","D'Alessandro","ITN",0.282,0.282,0.282,0.20848,0.2225802,0.194473
"20","D'Alessandro","ITN",0.228,0.228,0.228,0.1527185,0.165961175,0.13981675
"21","D'Alessandro","ITN",0.159,0.159,0.159,0.1746635,0.18817215,0.161688075
"22","D'Alessandro","ITN",0.431,0.431,0.431,0.434222,0.452145975,0.41463115
"23","D'Alessandro","ITN",0.71,0.71,0.71,0.5860005,0.60285865,0.567592575
"24","Henry","None",0.685,0.721,0.649,0.7909865,0.803294725,0.7773825
"25","Henry","ITN",0.566,0.602,0.53,0.4589955,0.487528875,0.434883625
"26","Kafy","ITN",0.05,0.02,0.1,0.0279924,0.0375337825,0.0199000325
"27","Kafy","ITN",0.05,0.03,0.09,0.0211623,0.0297876625,0.01300793
"28","Kafy","ITN_IRS",0.04,0.02,0.07,0.02882795,0.0387601175,0.02003735
"29","Kafy","ITN_IRS",0.03,0.02,0.05,0.01315035,0.0204081775,0.007033961
"30","Marbiah","None",0.476,0.476,0.476,0.504752,0.518285525,0.489034325
"31","Marbiah","ITN",0.345,0.345,0.345,0.40239,0.4153902,0.3878633
"32","Philips-Howard","None",0.514,0.514,0.514,0.690937,0.71372555,0.657077725
"33","Philips-Howard","None",0.391,0.391,0.391,0.286967,0.316157325,0.249626
"34","Philips-Howard","ITN",0.325,0.325,0.325,0.264327,0.2952952,0.23137755
"35","Philips-Howard","ITN",0.338,0.338,0.338,0.224194,0.252378475,0.191181125
"36","Philips-Howard","ITN",0.325,0.325,0.325,0.3980935,0.42677925,0.35953915
"37","Philips-Howard","ITN",0.338,0.338,0.338,0.236266,0.26413165,0.201993725
"38","Protopopoff","ITN",0.555,0.555,0.555,0.7740025,0.7906925,0.747436125
"39","Protopopoff","ITN",0.553,0.553,0.553,0.666841,0.693604375,0.629382975
"40","Protopopoff","ITN",0.53,0.53,0.53,0.790894,0.805070325,0.767958825
"41","Protopopoff","ITN",0.68,0.68,0.68,0.68444,0.708840475,0.64935745
"42","Protopopoff","PBO_ITN",0.458,0.458,0.458,0.6374285,0.6860034,0.56551885
"43","Protopopoff","PBO_ITN",0.311,0.311,0.311,0.536791,0.5849104,0.465394325
