"","PI","Intervention","Prev_obs","prev_obs_max","prev_obs_min","Prev_model","prev_model_max","prev_model_min"
"1","Corbel","ITN",0.2,0.24,0.16,0.232681,0.2561889,0.211893125
"2","Curtis","ITN_IRS",0.834,0.834,0.834,0.8169185,0.806677675,0.826965325
"3","Curtis","ITN_IRS",0.853,0.853,0.853,0.822174,0.811708675,0.83238015
"4","Curtis","ITN_IRS",0.817,0.817,0.817,0.7500935,0.734566675,0.765476125
"5","Curtis","ITN_IRS",0.675,0.675,0.675,0.7984575,0.78346615,0.812444875
"6","Curtis","ITN_IRS",0.841,0.841,0.841,0.781628,0.7689608,0.794246325
"7","Curtis","ITN_IRS",0.792,0.792,0.792,0.777568,0.764094525,0.79001825
"8","Curtis","IRS",0.734,0.734,0.734,0.661328,0.644618325,0.676366775
"9","Curtis","IRS",0.603,0.603,0.603,0.6943675,0.6751852,0.71111885
"10","Curtis","IRS",0.762,0.762,0.762,0.638119,0.622487175,0.654844825
"11","Curtis","IRS",0.801,0.801,0.801,0.6107805,0.5800139,0.6408596
"12","Curtis","IRS",0.73,0.73,0.73,0.481737,0.4520033,0.508653
"13","Curtis","IRS",0.637,0.637,0.637,0.3661095,0.336389325,0.39709145
"14","D'Alessandro","None",0.367,0.367,0.367,0.356973,0.3728834,0.3411123
"15","D'Alessandro","None",0.33,0.33,0.33,0.293732,0.3085158,0.277869425
"16","D'Alessandro","None",0.258,0.258,0.258,0.356084,0.3727287,0.3403552
"17","D'Alessandro","None",0.533,0.533,0.533,0.553563,0.569925225,0.5379402
"18","D'Alessandro","None",0.447,0.447,0.447,0.68577,0.700388025,0.669601875
"19","D'Alessandro","ITN",0.282,0.282,0.282,0.2539885,0.26984875,0.2387774
"20","D'Alessandro","ITN",0.228,0.228,0.228,0.192783,0.205498,0.178956525
"21","D'Alessandro","ITN",0.159,0.159,0.159,0.220589,0.235401775,0.205002825
"22","D'Alessandro","ITN",0.431,0.431,0.431,0.4741265,0.49195355,0.457195725
"23","D'Alessandro","ITN",0.71,0.71,0.71,0.6206345,0.638009675,0.602751475
"24","Henry","None",0.685,0.721,0.649,0.7915805,0.805458525,0.7775152
"25","Henry","ITN",0.566,0.602,0.53,0.4588325,0.48813065,0.43401055
"26","Kafy","ITN",0.05,0.02,0.1,0.02807025,0.037369255,0.0193616825
"27","Kafy","ITN",0.05,0.03,0.09,0.02087635,0.0312492775,0.0127451025
"28","Kafy","ITN_IRS",0.04,0.02,0.07,0.02862085,0.03953877,0.02058386
"29","Kafy","ITN_IRS",0.03,0.02,0.05,0.01290225,0.0209834575,0.0075599475
"30","Marbiah","None",0.476,0.476,0.476,0.504657,0.51864635,0.489075
"31","Marbiah","ITN",0.345,0.345,0.345,0.4230715,0.43580945,0.408846575
"32","Philips-Howard","None",0.514,0.514,0.514,0.698916,0.719885275,0.66862395
"33","Philips-Howard","None",0.391,0.391,0.391,0.4171575,0.449489325,0.37883495
"34","Philips-Howard","ITN",0.325,0.325,0.325,0.40368,0.429771075,0.3643451
"35","Philips-Howard","ITN",0.338,0.338,0.338,0.364098,0.392697725,0.325008625
"36","Philips-Howard","ITN",0.325,0.325,0.325,0.5004915,0.52716445,0.466211725
"37","Philips-Howard","ITN",0.338,0.338,0.338,0.3752685,0.4036925,0.33613395
"38","Protopopoff","ITN",0.555,0.555,0.555,0.5961915,0.63543875,0.552295725
"39","Protopopoff","ITN",0.553,0.553,0.553,0.468893,0.511077675,0.421722075
"40","Protopopoff","ITN",0.53,0.53,0.53,0.716847,0.743717875,0.676672275
"41","Protopopoff","ITN",0.68,0.68,0.68,0.6041245,0.636436275,0.561695375
"42","Protopopoff","PBO_ITN",0.458,0.458,0.458,0.472813,0.519749225,0.412356725
"43","Protopopoff","PBO_ITN",0.311,0.311,0.311,0.33345,0.3857768,0.2740127
"44","Protopopoff","PBO_ITN",0.348,0.348,0.348,0.624057,0.676049025,0.540498375
"45","Protopopoff","PBO_ITN",0.459,0.459,0.459,0.519929,0.5675479,0.448946775
"46","Protopopoff","ITN_IRS",0.386,0.386,0.386,0.503038,0.529380925,0.4726217
"47","Protopopoff","ITN_IRS",0.264,0.264,0.264,0.2913895,0.3239901,0.26375255
"48","Protopopoff","ITN_IRS",0.399,0.399,0.399,0.6477165,0.68312315,0.604304725
"49","Protopopoff","ITN_IRS",0.551,0.551,0.551,0.583373,0.618085475,0.54510015
"50","Protopopoff","PBO_ITN_IRS",0.375,0.375,0.375,0.39386,0.434267425,0.325150325
"51","Protopopoff","PBO_ITN_IRS",0.286,0.286,0.286,0.198759,0.229610175,0.1569068
"52","Protopopoff","PBO_ITN_IRS",0.291,0.291,0.291,0.4523385,0.54098795,0.3075575
"53","Protopopoff","PBO_ITN_IRS",0.437,0.437,0.437,0.4364235,0.504960525,0.31832015
"54","West","ITN",0.23,0.342,0.154,0.221887,0.241820175,0.2011849
"55","West","ITN",0.3,0.434,0.202,0.260555,0.2833622,0.24047015
"56","West","ITN",0.24,0.389,0.142,0.224102,0.24349675,0.204425725
"57","West","ITN_IRS",0.136,0.214,0.083,0.1484305,0.16920035,0.129751275
"58","West","ITN_IRS",0.127,0.21,0.074,0.1285525,0.149962475,0.11075955
"59","West","ITN_IRS",0.134,0.234,0.073,0.1625075,0.188060475,0.1387695
"60","Chaccour","ITN",0.43,0.43,0.43,0.401169,0.4398086,0.3179947
"61","Chaccour","ITN_IRS",0.34,0.34,0.34,0.229293,0.2864841,0.140551
"62","Staedke","ITN",0.145,0.145,0.145,0.137061,0.163159025,0.108553625
"63","Staedke","ITN",0.13,0.13,0.13,0.112789,0.140222,0.086218695
"64","Staedke","ITN",0.14,0.14,0.14,0.13246,0.165916825,0.0990505875
"65","Staedke","PBO_ITN",0.107,0.107,0.107,0.131305,0.157409075,0.1022864
"66","Staedke","PBO_ITN",0.106,0.106,0.106,0.1087765,0.13933555,0.079852535
"67","Staedke","PBO_ITN",0.118,0.118,0.118,0.1395075,0.1782572,0.10099575
"68","Nevill","None",0.392,0.392,0.392,0.401169,0.4398086,0.3179947
"69","Nevill","None",0.254,0.254,0.254,0.351931,0.3829602,0.28316475
"70","Nevill","None",0.115,0.115,0.115,0.261455,0.29320365,0.2007174
"71","Nevill","ITN",0.168,0.168,0.168,0.229293,0.2864841,0.140551
"72","Nevill","ITN",0.12,0.12,0.12,0.201082,0.248401275,0.1230124
"73","Nevill","ITN",0.078,0.078,0.078,0.1467465,0.18508075,0.0875926925
"74","Bradley","ITN",0.168,0.247,0.111,0.157524,0.183152175,0.13030765
"75","Bradley","ITN",0.232,0.323,0.16,0.1409505,0.165579025,0.114732625
