"","PI","Intervention","Prev_obs","prev_obs_max","prev_obs_min","Prev_model","prev_model_max","prev_model_min","intvn_colour","study_order","study_colour","study_symbol"
"48","Protopopoff","ITN_IRS",0.399,0.399,0.399,0.65198,0.6871389,0.60778555,"aquamarine3",8,"green",8
"49","Protopopoff","ITN_IRS",0.551,0.551,0.551,0.589094,0.621869875,0.549296025,"aquamarine3",8,"green",8
"50","Protopopoff","PBO_ITN_IRS",0.375,0.375,0.375,0.38686,0.424739175,0.3198829,"orange",8,"green",8
"51","Protopopoff","PBO_ITN_IRS",0.286,0.286,0.286,0.1892805,0.2182657,0.151349775,"orange",8,"green",8
"52","Protopopoff","PBO_ITN_IRS",0.291,0.291,0.291,0.4384955,0.531034825,0.288624075,"orange",8,"green",8
"53","Protopopoff","PBO_ITN_IRS",0.437,0.437,0.437,0.433943,0.503007125,0.309947,"orange",8,"green",8
"54","West","ITN",0.23,0.342,0.154,0.223246,0.243592175,0.201404325,"darkred",9,"gold2",19
"55","West","ITN",0.3,0.434,0.202,0.261711,0.283744575,0.240122025,"darkred",9,"gold2",19
"56","West","ITN",0.24,0.389,0.142,0.224696,0.24413245,0.205992025,"darkred",9,"gold2",19
"57","West","ITN_IRS",0.136,0.214,0.083,0.1254275,0.14366755,0.107337725,"aquamarine3",9,"gold2",19
"58","West","ITN_IRS",0.127,0.21,0.074,0.105946,0.1241539,0.0879693925,"aquamarine3",9,"gold2",19
"59","West","ITN_IRS",0.134,0.234,0.073,0.1326675,0.156437525,0.108578725,"aquamarine3",9,"gold2",19
"60","Chaccour","ITN",0.43,0.43,0.43,0.401834,0.44023955,0.32289285,"darkred",10,"grey",18
"61","Chaccour","ITN_IRS",0.34,0.34,0.34,0.227498,0.282562525,0.151734825,"aquamarine3",10,"grey",18
"62","Staedke","ITN",0.145,0.145,0.145,0.143113,0.1711612,0.1125424,"darkred",11,"aquamarine1",8
"63","Staedke","ITN",0.13,0.13,0.13,0.1189085,0.14746955,0.0900099825,"darkred",11,"aquamarine1",8
"64","Staedke","ITN",0.14,0.14,0.14,0.1379575,0.1722284,0.10180455,"darkred",11,"aquamarine1",8
"65","Staedke","PBO_ITN",0.107,0.107,0.107,0.118956,0.1437569,0.0942122175,"blue",11,"aquamarine1",8
"66","Staedke","PBO_ITN",0.106,0.106,0.106,0.07651515,0.097751425,0.05671982,"blue",11,"aquamarine1",8
"67","Staedke","PBO_ITN",0.118,0.118,0.118,0.08576955,0.11493395,0.0591812025,"blue",11,"aquamarine1",8
"68","Nevill","None",0.392,0.392,0.392,0.401834,0.44023955,0.32289285,"grey",12,"black",1
"69","Nevill","None",0.254,0.254,0.254,0.352111,0.3827539,0.2889719,"grey",12,"black",1
"70","Nevill","None",0.115,0.115,0.115,0.262244,0.294086,0.2061185,"grey",12,"black",1
"71","Nevill","ITN",0.168,0.168,0.168,0.227498,0.282562525,0.151734825,"darkred",12,"black",1
"72","Nevill","ITN",0.12,0.12,0.12,0.1996585,0.24505315,0.1309212,"darkred",12,"black",1
"73","Nevill","ITN",0.078,0.078,0.078,0.1457495,0.182682925,0.093017075,"darkred",12,"black",1
"74","Bradley","ITN",0.168,0.247,0.111,0.157302,0.1801456,0.1285389,"darkred",13,"pink",19
"75","Bradley","ITN",0.232,0.323,0.16,0.1414555,0.1636434,0.11545565,"darkred",13,"pink",19
