PI,Intervention,time0_measured_mean,time0_measured_min,time0_measured_max,Obs_mean_eff,eff_obs_min,eff_obs_max,Pred_1_eff,Pred_1_eff_min,Pred_1_eff_max,Pred_2_eff,Pred_2_eff_min,Pred_2_eff_max,Pred_3_eff,Pred_3_eff_min,Pred_3_eff_max,Pred_4_eff,Pred_4_eff_min,Pred_4_eff_max,Pred_5_eff,Pred_5_eff_min,Pred_5_eff_max,Pred_6_eff,Pred_6_eff_min,Pred_6_eff_max,intvn_colour,study_order,study_colour,study_symbol,time_months,location,Intervention,country,reps
Protopopoff,PBO_ITN,0.61,0.61,0.61,0.490163934,0.490163934,0.490163934,0.151709836,0.070940451,0.276455205,0.472581967,0.392932582,0.569559877,0.32639918,0.229362787,0.44414377,0.453360656,0.367579016,0.550798852,0.120014754,0.041130492,0.237058484,0.147134426,0.068695328,0.258434221,blue,9,green,8,9,East,PBO-ITN,Tanzania,35
Protopopoff,PBO_ITN,0.61,0.61,0.61,0.429508197,0.429508197,0.429508197,-0.208977049,-0.257326025,-0.11966791,-0.015311475,-0.100639467,0.124332254,-0.135444262,-0.202203975,-0.021930451,-0.023044262,-0.10827709,0.11393709,-0.216412295,-0.265406434,-0.129406803,-0.203338525,-0.252322459,-0.114790574,blue,9,green,8,16,East,PBO-ITN,Tanzania,35
Protopopoff,PBO_ITN,0.61,0.61,0.61,0.247540984,0.247540984,0.247540984,-0.023152459,-0.083953402,0.076391434,0.151914754,0.07090709,0.27502791,0.048268852,-0.025725861,0.156534672,0.147657377,0.069593607,0.26402168,-0.028284426,-0.090116352,0.070359344,-0.015733607,-0.076085,0.089928197,blue,9,green,8,21,East,PBO-ITN,Tanzania,35
Staedke,PBO_ITN,0.251,0.072,0.417,0.573705179,0.573705179,0.573705179,0.412354582,0.298438247,0.533578685,0.526071713,0.427263347,0.624652518,0.523515936,0.430190239,0.624399761,0.47687251,0.372872211,0.592484462,0.255075697,0.114967032,0.405526992,0.394089641,0.275857271,0.519531275,blue,12,aquamarine1,11,12,East,PBO-ITN,Uganda,36
Staedke,PBO_ITN,0.251,0.072,0.417,0.577689243,0.577689243,0.577689243,0.388780876,0.253535956,0.52626006,0.695158765,0.610552092,0.774024622,0.692717729,0.614206402,0.772773255,0.56662749,0.444878287,0.68186241,0.208928287,0.066597809,0.366203884,0.371410359,0.241516335,0.512985359,blue,12,aquamarine1,11,18,East,PBO-ITN,Uganda,36
Staedke,PBO_ITN,0.251,0.072,0.417,0.529880478,0.529880478,0.529880478,0.222533865,0.071051892,0.39117241,0.658288645,0.542095817,0.764218315,0.655544622,0.54714761,0.766952749,0.444193227,0.289811952,0.597626494,0.112073705,-0.039763247,0.283605179,0.225737052,0.080475996,0.390824303,blue,12,aquamarine1,11,24,East,PBO-ITN,Uganda,36
Protopopoff,PBO_ITN_IRS,0.64,0.64,0.64,0.4140625,0.4140625,0.4140625,0.34434375,0.278798828,0.459430469,0.39553125,0.336345039,0.500182969,0.375548438,0.31288793,0.481949492,0.38459375,0.321457148,0.491952617,0.335626563,0.271594219,0.450666641,0.304842188,0.231505391,0.429549141,purple,9,green,8,4,East,PBO-ITN + op-IRS,Tanzania,37
Protopopoff,PBO_ITN_IRS,0.64,0.64,0.64,0.553125,0.553125,0.553125,0.65994375,0.605028438,0.735128555,0.704249219,0.658959844,0.763515977,0.687329688,0.636310156,0.752303516,0.689439063,0.641234102,0.754833125,0.657830469,0.603645273,0.729187344,0.62215,0.557178242,0.709438086,purple,9,green,8,9,East,PBO-ITN + op-IRS,Tanzania,37
Protopopoff,PBO_ITN_IRS,0.64,0.64,0.64,0.5453125,0.5453125,0.5453125,0.067465625,-0.038775625,0.298827813,0.314850781,0.170258086,0.549024883,0.176627344,0.04565832,0.406312305,0.293221094,0.154706328,0.519441406,0.057009375,-0.04525582,0.283682109,0.065799219,-0.035635156,0.287170586,purple,9,green,8,16,East,PBO-ITN + op-IRS,Tanzania,37
Protopopoff,PBO_ITN_IRS,0.64,0.64,0.64,0.3171875,0.3171875,0.3171875,0.138913281,0.05518707,0.309632383,0.321964063,0.214051367,0.515707813,0.214070313,0.11914957,0.394802891,0.318088281,0.21099918,0.502624766,0.132360938,0.049134219,0.301879219,0.14744375,0.060960703,0.314637461,purple,9,green,8,21,East,PBO-ITN + op-IRS,Tanzania,37
Chaccour,ITN_IRS,0.43,0.43,0.43,0.209302326,0.209302326,0.209302326,0.466767442,0.34591814,0.656348372,0.470934884,0.342877849,0.647128314,0.466237209,0.345769767,0.653191686,0.466760465,0.333757907,0.673137209,0.469132558,0.342963198,0.674876512,0.464418605,0.348568779,0.653430407,aquamarine3,11,grey,10,17,East,PBO-ITN + op-IRS,Mozambique,38
