PI,Intervention,time0_measured_mean,time0_measured_min,time0_measured_max,Obs_mean_eff,eff_obs_min,eff_obs_max,Pred_1_eff,Pred_1_eff_min,Pred_1_eff_max,Pred_2_eff,Pred_2_eff_min,Pred_2_eff_max,Pred_3_eff,Pred_3_eff_min,Pred_3_eff_max,Pred_4_eff,Pred_4_eff_min,Pred_4_eff_max,Pred_5_eff,Pred_5_eff_min,Pred_5_eff_max,Pred_6_eff,Pred_6_eff_min,Pred_6_eff_max,intvn_colour,study_order,study_colour,study_symbol,time_months,location,Intervention,country,reps
Curtis,CTN,0.957,0.957,0.957,0.121212121,0.121212121,0.121212121,0.183501567,0.196250104,0.17067918,0.183188088,0.197043887,0.171759666,0.183340125,0.196956061,0.170778239,0.183251829,0.196488192,0.170066536,0.182965517,0.196611625,0.170240125,0.183385057,0.196840361,0.169578213,darkred,2,darkred,2,2,East,CTN,Tanzania,11
Curtis,CTN,0.957,0.957,0.957,0.172413793,0.172413793,0.172413793,0.18785371,0.202396656,0.174650549,0.187701149,0.20262453,0.174560684,0.188187043,0.202567712,0.173818156,0.187494253,0.201573119,0.174484587,0.187923197,0.202402821,0.173902612,0.188092999,0.201874242,0.174317894,darkred,2,darkred,2,5,East,CTN,Tanzania,11
Curtis,CTN,0.957,0.957,0.957,0.233019854,0.233019854,0.233019854,0.309525601,0.326501385,0.293166693,0.309180773,0.326816536,0.293590361,0.308980669,0.326452168,0.292320664,0.308957158,0.326417633,0.293242659,0.308959248,0.326112435,0.291865831,0.309288924,0.32725687,0.2928186,darkred,2,darkred,2,8,East,CTN,Tanzania,11
Curtis,CTN,0.957,0.957,0.957,0.369905956,0.369905956,0.369905956,0.275354754,0.293352116,0.256349216,0.274946186,0.294415831,0.256842685,0.275048589,0.294655094,0.256535319,0.274433124,0.294477325,0.256929101,0.274579937,0.293122571,0.255507341,0.274775862,0.294995794,0.256321238,darkred,2,darkred,2,11,East,CTN,Tanzania,11
D'Alessandro,ITN,0.395,0.395,0.395,0.286075949,0.286075949,0.286075949,0.475931646,0.434850316,0.509249684,0.401024051,0.361313418,0.439973481,0.430134177,0.394206962,0.468871266,0.356991139,0.316838608,0.395500253,0.472202532,0.436505823,0.507663291,0.432859494,0.392393228,0.470217848,darkred,3,red,3,1,West,CTN,The Gambia,12
D'Alessandro,ITN,0.287,0.287,0.287,0.205574913,0.205574913,0.205574913,0.47060453,0.422299564,0.514128397,0.38684669,0.336763066,0.432572474,0.419571429,0.36872439,0.464330314,0.32828223,0.283979094,0.376458101,0.467879791,0.421738066,0.512833624,0.423162021,0.375868641,0.46981324,darkred,3,red,3,1,West,CTN,The Gambia,13
D'Alessandro,ITN,0.342,0.342,0.342,0.535087719,0.535087719,0.535087719,0.49145614,0.454264108,0.531112281,0.408592105,0.364697076,0.450319006,0.441593567,0.400255409,0.481751754,0.355002924,0.311690716,0.400576535,0.489288012,0.449789035,0.527227851,0.448019006,0.405727632,0.489123099,darkred,3,red,3,1,West,CTN,The Gambia,14
D'Alessandro,ITN,0.573,0.573,0.573,0.247818499,0.247818499,0.247818499,0.245557592,0.212221161,0.277220375,0.196081152,0.165140707,0.229809468,0.213348168,0.181649738,0.247553665,0.172554101,0.141442321,0.202101702,0.242195462,0.210914529,0.276385428,0.218619546,0.185390794,0.250090532,darkred,3,red,3,1,West,CTN,The Gambia,15
D'Alessandro,ITN,0.712,0.712,0.712,0.002808989,0.002808989,0.002808989,0.178753511,0.153071348,0.206428265,0.143956461,0.119029986,0.167544874,0.156589185,0.131697753,0.181013588,0.128322331,0.103918996,0.15343894,0.17696559,0.153288413,0.202819417,0.160746489,0.136065344,0.18240481,darkred,3,red,3,1,West,CTN,The Gambia,16
Henry,ITN,0.8,0.728,0.872,0.2925,0.2475,0.3375,0.426378125,0.392781625,0.459001188,0.4255,0.393062281,0.460216375,0.427305625,0.391431406,0.456604344,0.426459375,0.389836688,0.457486813,0.426255625,0.390588906,0.456395469,0.426390625,0.391368188,0.458624781,darkred,4,orange,4,48,West,CTN,Cote D'Ivoire,17
