ID,PI,control_arm_intervention,Intervention,Month,Obs_mean_eff,eff_obs_min,eff_obs_max,Pred_1_eff,Pred_1_eff_min,Pred_1_eff_max,Pred_2_eff,Pred_2_eff_min,Pred_2_eff_max,Pred_3_eff,Pred_3_eff_min,Pred_3_eff_max,Pred_4_eff,Pred_4_eff_min,Pred_4_eff_max,Pred_5_eff,Pred_5_eff_min,Pred_5_eff_max,Pred_6_eff,Pred_6_eff_min,Pred_6_eff_max,study,study_col,intervention_symbol,col_rel_prev_month,study_symb,reps,arm,intn_col,location,new_order,country
12,D'Alessandro,Untreated Net,CTN,1,0.309090909,0.309090909,0.309090909,0.500406911,0.45482128,0.541480597,0.512376692,0.470093426,0.5535714,0.425842755,0.378769161,0.472277173,0.440367629,0.394655706,0.4821021,0.475908523,0.429996759,0.516323057,0.34367723,0.300389471,0.390748965,D'Alessandro,red,1,grey,3,8,1,darkred,West,17,The Gambia
13,D'Alessandro,Untreated Net,CTN,1,0.38372093,0.38372093,0.38372093,0.530538786,0.496205039,0.56714727,0.543816005,0.508534278,0.577705061,0.458853022,0.417391722,0.499150344,0.474117523,0.435085872,0.511221265,0.509335409,0.473012099,0.544621895,0.380514148,0.338915045,0.424285211,D'Alessandro,red,1,grey,3,9,1,darkred,West,18,The Gambia
14,D'Alessandro,Untreated Net,CTN,1,0.191369606,0.191369606,0.191369606,0.228215334,0.194112604,0.260605946,0.233791911,0.202164093,0.268361021,0.1863926,0.151793374,0.219161563,0.188001555,0.15675015,0.222068849,0.208429517,0.176532889,0.242848889,0.143500378,0.111296185,0.17408547,D'Alessandro,red,1,grey,3,10,1,darkred,West,19,The Gambia
15,D'Alessandro,Untreated Net,CTN,1,-0.58836689,-0.58836689,-0.58836689,0.154952121,0.128525636,0.183428945,0.156445414,0.132177909,0.182943837,0.126389166,0.100697626,0.148934135,0.125426433,0.099960397,0.149525444,0.139155883,0.113749944,0.164085139,0.094981554,0.069644815,0.121058846,D'Alessandro,red,1,grey,3,11,1,darkred,West,20,The Gambia
17,Kafy,ITN,ITN + pyr/ben-IRS,21,0.2,0,0.6,-0.020943439,-0.368718964,0.266734793,-0.029849173,-0.384665749,0.284186065,-0.045912658,-0.406667044,0.257299576,-0.029020952,-0.39660635,0.279130624,-0.04802814,-0.416501568,0.255597427,-0.019615073,-0.40856494,0.266701935,Kafy,blue,19,darkblue,5,12,1,aquamarine3,,23,Sudan
18,Kafy,ITN,ITN + pyr/ben-IRS,33,0.4,0.2,0.8,0.381058436,0.015261983,0.646321481,0.378595427,0.035635186,0.667618312,0.369197896,0.024933543,0.654262491,0.371683104,0.041350714,0.642855114,0.367504435,-0.037972389,0.658791455,0.381968112,-0.005130566,0.637870246,Kafy,blue,19,black,5,12,1,aquamarine3,,24,Sudan
40,West,ITN,ITN + pyr/ben-IRS,11,0.408695652,0.054795084,0.50342983,0.441708305,0.374004527,0.511640445,0.429938769,0.360265385,0.494964146,0.453710805,0.38128081,0.520621686,0.438164626,0.35646081,0.519195305,0.437968356,0.361834499,0.515846656,0.331053644,0.237448115,0.415237148,West,gold2,19,lightgreen,9,13,1,aquamarine3,East,31,Tanzania
41,West,ITN,ITN + pyr/ben-IRS,15,0.576666667,0.282041479,0.708237491,0.593504585,0.534386105,0.65198095,0.582948369,0.517984326,0.635008773,0.601878034,0.537674203,0.658543424,0.595179415,0.525606872,0.663868189,0.594725625,0.529574059,0.657047155,0.506620483,0.424449828,0.574909136,West,gold2,19,darkgreen,9,13,1,aquamarine3,East,32,Tanzania
42,West,ITN,ITN + pyr/ben-IRS,19,0.441666667,0.022629597,0.629857113,0.414095222,0.330017312,0.502874713,0.405367788,0.316069588,0.484432266,0.418544922,0.330463817,0.507029224,0.409568929,0.303781442,0.516774998,0.406995445,0.307600361,0.504977536,0.274850291,0.160826432,0.380775272,West,gold2,19,darkblue,9,13,1,aquamarine3,East,33,Tanzania
28,Protopopoff,ITN,ITN + op-IRS,4,0.304504505,0.304504505,0.304504505,0.300228189,0.269975866,0.333009788,0.31321932,0.28584954,0.343557912,0.234904628,0.192682616,0.279778169,0.225241755,0.186956237,0.266319116,0.28997071,0.255597314,0.325119202,0.156253118,0.110706761,0.206055106,Protopopoff,green,8,grey,8,14,2,aquamarine3,East,25,Tanzania
