"","PI","Intervention","Prev_obs","prev_obs_max","prev_obs_min","Prev_model","prev_model_max","prev_model_min","intvn_colour","study_order","study_colour","study_symbol"
"1","Corbel","ITN",0.2,0.24,0.16,0.3111865,0.3329882,0.28748805,"darkred",1,"purple",15
"2","Curtis","ITN_IRS",0.834,0.834,0.834,0.81717,0.805963625,0.826834175,"aquamarine3",2,"darkred",1
"3","Curtis","ITN_IRS",0.853,0.853,0.853,0.8224985,0.81291935,0.83188165,"aquamarine3",2,"darkred",1
"4","Curtis","ITN_IRS",0.817,0.817,0.817,0.7508195,0.735228,0.7645754,"aquamarine3",2,"darkred",1
"5","Curtis","ITN_IRS",0.675,0.675,0.675,0.7989195,0.784265,0.811934425,"aquamarine3",2,"darkred",1
"6","Curtis","ITN_IRS",0.841,0.841,0.841,0.781389,0.76918865,0.793660025,"aquamarine3",2,"darkred",1
"7","Curtis","ITN_IRS",0.792,0.792,0.792,0.777224,0.7633064,0.789859425,"aquamarine3",2,"darkred",1
"8","Curtis","IRS",0.734,0.734,0.734,0.660784,0.644538175,0.676439475,"purple",2,"darkred",1
"9","Curtis","IRS",0.603,0.603,0.603,0.6934855,0.676262025,0.7116738,"purple",2,"darkred",1
"10","Curtis","IRS",0.762,0.762,0.762,0.6384055,0.6209786,0.654405125,"purple",2,"darkred",1
"11","Curtis","IRS",0.801,0.801,0.801,0.610846,0.578932675,0.639717325,"purple",2,"darkred",1
"12","Curtis","IRS",0.73,0.73,0.73,0.481045,0.45084225,0.509520425,"purple",2,"darkred",1
"13","Curtis","IRS",0.637,0.637,0.637,0.3665415,0.3374593,0.3943477,"purple",2,"darkred",1
"14","D'Alessandro","None",0.367,0.367,0.367,0.3673805,0.3847406,0.35119985,"grey",3,"red",1
"15","D'Alessandro","None",0.33,0.33,0.33,0.3041205,0.319553625,0.288407975,"grey",3,"red",1
"16","D'Alessandro","None",0.258,0.258,0.258,0.3704715,0.387021025,0.354815475,"grey",3,"red",1
"17","D'Alessandro","None",0.533,0.533,0.533,0.5601245,0.57664315,0.5437088,"grey",3,"red",1
"18","D'Alessandro","None",0.447,0.447,0.447,0.691946,0.708145225,0.677196725,"grey",3,"red",1
"19","D'Alessandro","ITN",0.282,0.282,0.282,0.207007,0.223234125,0.193846375,"darkred",3,"red",1
"20","D'Alessandro","ITN",0.228,0.228,0.228,0.1519365,0.165800025,0.13944515,"darkred",3,"red",1
"21","D'Alessandro","ITN",0.159,0.159,0.159,0.173922,0.186641675,0.1603596,"darkred",3,"red",1
"22","D'Alessandro","ITN",0.431,0.431,0.431,0.4322955,0.451397275,0.414152725,"darkred",3,"red",1
"23","D'Alessandro","ITN",0.71,0.71,0.71,0.5847275,0.6030132,0.565023075,"darkred",3,"red",1
"24","Henry","None",0.685,0.721,0.649,0.791718,0.804866725,0.7784966,"grey",4,"orange",1
"25","Henry","ITN",0.566,0.602,0.53,0.4588975,0.4857747,0.43279905,"darkred",4,"orange",1
"26","Kafy","ITN",0.05,0.02,0.1,0.02818305,0.0376691425,0.0197328325,"darkred",5,"blue",19
"27","Kafy","ITN",0.05,0.03,0.09,0.020946,0.02945571,0.0135456125,"darkred",5,"blue",19
"28","Kafy","ITN_IRS",0.04,0.02,0.07,0.0287733,0.038574675,0.02066565,"aquamarine3",5,"blue",19
"29","Kafy","ITN_IRS",0.03,0.02,0.05,0.01296435,0.0206263225,0.00740815025,"aquamarine3",5,"blue",19
"30","Marbiah","None",0.476,0.476,0.476,0.5046915,0.518415875,0.48894225,"grey",6,"darkgreen",17
