"","PI","Intervention","Prev_obs","prev_obs_max","prev_obs_min","Prev_model","prev_model_max","prev_model_min","intvn_colour","study_order","study_colour","study_symbol"
"31","Marbiah","ITN",0.345,0.345,0.345,0.4017985,0.414764075,0.38888275,"darkred",6,"darkgreen",17
"32","Philips-Howard","None",0.514,0.514,0.514,0.68983,0.7129195,0.656634825,"grey",7,"darkblue",19
"33","Philips-Howard","None",0.391,0.391,0.391,0.28387,0.312156925,0.245951125,"grey",7,"darkblue",19
"34","Philips-Howard","ITN",0.325,0.325,0.325,0.2620905,0.29231375,0.22518205,"darkred",7,"darkblue",19
"35","Philips-Howard","ITN",0.338,0.338,0.338,0.221131,0.25147945,0.184377375,"darkred",7,"darkblue",19
"36","Philips-Howard","ITN",0.325,0.325,0.325,0.396372,0.425768175,0.35899325,"darkred",7,"darkblue",19
"37","Philips-Howard","ITN",0.338,0.338,0.338,0.233605,0.2623883,0.198785275,"darkred",7,"darkblue",19
"38","Protopopoff","ITN",0.555,0.555,0.555,0.756077,0.776034925,0.7251532,"darkred",8,"green",8
"39","Protopopoff","ITN",0.553,0.553,0.553,0.646602,0.67325115,0.60738325,"darkred",8,"green",8
"40","Protopopoff","ITN",0.53,0.53,0.53,0.785725,0.801348,0.76078635,"darkred",8,"green",8
"41","Protopopoff","ITN",0.68,0.68,0.68,0.6807215,0.7039205,0.6485838,"darkred",8,"green",8
"42","Protopopoff","ITN",0.827,0.827,0.827,0.795965,0.808898025,0.7740093,"darkred",8,"green",8
"43","Protopopoff","ITN",0.648,0.648,0.648,0.687773,0.7114734,0.6550689,"darkred",8,"green",8
"44","Protopopoff","PBO_ITN",0.458,0.458,0.458,0.611784,0.660201525,0.5367562,"blue",8,"green",8
"45","Protopopoff","PBO_ITN",0.311,0.311,0.311,0.517457,0.566726325,0.441362325,"blue",8,"green",8
"46","Protopopoff","PBO_ITN",0.348,0.348,0.348,0.737476,0.766968875,0.682997425,"blue",8,"green",8
"47","Protopopoff","PBO_ITN",0.459,0.459,0.459,0.624123,0.661211575,0.563401225,"blue",8,"green",8
"48","Protopopoff","PBO_ITN",0.6835,0.6835,0.6835,0.7619475,0.78751355,0.71394665,"blue",8,"green",8
"49","Protopopoff","PBO_ITN",0.49,0.49,0.49,0.64178,0.67896955,0.583446875,"blue",8,"green",8
"50","Protopopoff","ITN_IRS",0.386,0.386,0.386,0.5282365,0.550622025,0.503078575,"aquamarine3",8,"green",8
"51","Protopopoff","ITN_IRS",0.264,0.264,0.264,0.2984795,0.325273725,0.27247055,"aquamarine3",8,"green",8
"52","Protopopoff","ITN_IRS",0.399,0.399,0.399,0.7224975,0.747246475,0.690639925,"aquamarine3",8,"green",8
"53","Protopopoff","ITN_IRS",0.551,0.551,0.551,0.6567275,0.682898725,0.6240662,"aquamarine3",8,"green",8
"54","Protopopoff","ITN_IRS",NA,NA,NA,0.7889375,0.802749025,0.769964875,"aquamarine3",8,"green",8
"55","Protopopoff","ITN_IRS",NA,NA,NA,0.6942665,0.716986425,0.6666168,"aquamarine3",8,"green",8
"56","Protopopoff","PBO_ITN_IRS",0.375,0.375,0.375,0.41962,0.46156875,0.3459645,"orange",8,"green",8
"57","Protopopoff","PBO_ITN_IRS",0.286,0.286,0.286,0.217636,0.2527818,0.169517725,"orange",8,"green",8
"58","Protopopoff","PBO_ITN_IRS",0.291,0.291,0.291,0.596822,0.6648164,0.4487502,"orange",8,"green",8
"59","Protopopoff","PBO_ITN_IRS",0.437,0.437,0.437,0.5510955,0.604680275,0.441835275,"orange",8,"green",8
"60","Protopopoff","PBO_ITN_IRS",NA,NA,NA,0.7293135,0.764071975,0.648789375,"orange",8,"green",8
"61","Protopopoff","PBO_ITN_IRS",NA,NA,NA,0.6116075,0.659468875,0.5241975,"orange",8,"green",8
"62","West","ITN",0.23,0.342,0.154,0.291997,0.3146543,0.26709215,"darkred",9,"gold2",19
"63","West","ITN",0.3,0.434,0.202,0.319102,0.3424521,0.291711825,"darkred",9,"gold2",19
"64","West","ITN",0.24,0.389,0.142,0.2651395,0.285252975,0.242832575,"darkred",9,"gold2",19
"65","West","ITN_IRS",0.136,0.214,0.083,0.1630195,0.1827888,0.142599525,"aquamarine3",9,"gold2",19
"66","West","ITN_IRS",0.127,0.21,0.074,0.1297135,0.148578325,0.111053575,"aquamarine3",9,"gold2",19
"67","West","ITN_IRS",0.134,0.234,0.073,0.1553465,0.177638875,0.13180755,"aquamarine3",9,"gold2",19
"68","Chaccour","ITN",0.43,0.43,0.43,0.40197,0.4382458,0.31597305,"darkred",10,"grey",18
"69","Chaccour","ITN_IRS",0.34,0.34,0.34,0.22929,0.2812552,0.1477702,"aquamarine3",10,"grey",18
"70","Staedke","ITN",0.145,0.145,0.145,0.1956055,0.23210585,0.15522735,"darkred",11,"aquamarine1",8
"71","Staedke","ITN",0.13,0.13,0.13,0.21145,0.2508242,0.16723555,"darkred",11,"aquamarine1",8
"72","Staedke","ITN",0.14,0.14,0.14,0.2340955,0.27233345,0.188496425,"darkred",11,"aquamarine1",8
"73","Staedke","PBO_ITN",0.107,0.107,0.107,0.147499,0.176092,0.11707175,"blue",11,"aquamarine1",8
"74","Staedke","PBO_ITN",0.106,0.106,0.106,0.153416,0.187362475,0.118908725,"blue",11,"aquamarine1",8
"75","Staedke","PBO_ITN",0.118,0.118,0.118,0.195144,0.233165975,0.152815725,"blue",11,"aquamarine1",8
"76","Nevill","None",0.392,0.392,0.392,0.40197,0.4382458,0.31597305,"grey",12,"black",1
"77","Nevill","None",0.254,0.254,0.254,0.352417,0.38118385,0.28359015,"grey",12,"black",1
"78","Nevill","None",0.115,0.115,0.115,0.26225,0.2913139,0.20114335,"grey",12,"black",1
"79","Nevill","ITN",0.168,0.168,0.168,0.22929,0.2812552,0.1477702,"darkred",12,"black",1
"80","Nevill","ITN",0.12,0.12,0.12,0.2008185,0.2443126,0.1274831,"darkred",12,"black",1
"81","Nevill","ITN",0.078,0.078,0.078,0.1469435,0.18195785,0.09010202,"darkred",12,"black",1
"82","Bradley","ITN",0.168,0.247,0.111,0.156211,0.182078525,0.128974825,"darkred",13,"pink",19
"83","Bradley","ITN",0.232,0.323,0.16,0.141859,0.166129675,0.11454125,"darkred",13,"pink",19
