"","PI","Intervention","MONTH_prev_observed","Obs_eff_mean","Obs_eff_min","Obs_eff_max","Pred_3_eff","Pred_3_eff_min","Pred_3_eff_max"
"1","Curtis","ITN",2,-0.00839328537170265,-0.00839328537170265,-0.00839328537170265,0.0431995358166084,0.0587056113920789,0.0277532887307607
"2","Curtis","ITN",5,0.0715123094958968,0.0715123094958968,0.0715123094958968,0.0542537224480462,0.0706413423435915,0.0391106383806833
"3","Curtis","ITN",8,0.101591187270502,0.101591187270502,0.101591187270502,0.118339247040536,0.140616036534112,0.0982900465075352
"4","Curtis","ITN",11,0.106666666666667,0.106666666666667,0.106666666666667,0.130363857813346,0.15438805446752,0.109384218947157
"5","Curtis","IRS",2,0.0863309352517985,0.0863309352517985,0.0863309352517985,0.21887067069726,0.238005780258373,0.198396382258451
"6","Curtis","IRS",5,0.0609613130128956,0.0609613130128956,0.0609613130128956,0.257115282166549,0.294536314697376,0.220530447326235
"7","Curtis","IRS",8,0.106487148102815,0.106487148102815,0.106487148102815,0.357764065413179,0.397404056960899,0.321880538892818
"8","Curtis","IRS",11,0.0562962962962963,0.0562962962962963,0.0562962962962963,0.541479039272598,0.578701026667042,0.50267678617835
"9","D'Alessandro","ITN",1,0.231607629427793,0.231607629427793,0.231607629427793,0.288493807654921,0.244063976827379,0.331105153611057
"10","D'Alessandro","ITN",1,0.309090909090909,0.309090909090909,0.309090909090909,0.34367722958343,0.300389470673948,0.390748965042964
"11","D'Alessandro","ITN",1,0.383720930232558,0.383720930232558,0.383720930232558,0.380514148347019,0.338915045326384,0.424285210792959
"12","D'Alessandro","ITN",1,0.191369606003752,0.191369606003752,0.191369606003752,0.143500378457375,0.111296184896751,0.17408546994651
"13","D'Alessandro","ITN",1,-0.588366890380313,-0.588366890380313,-0.588366890380313,0.0949815535821048,0.0696448153170887,0.121058846260408
"14","Henry","ITN",48,0.0476190476190475,0.122619047619048,-0.0357142857142857,-0.0230060515271788,-0.0397312555115964,-0.00613863728666879
"15","Henry","ITN",48,0.173722627737226,0.226277372262774,0.121167883211679,0.420359015918154,0.383346797956746,0.451716471034847
"16","Kafy","ITN_IRS",21,0.2,0,0.6,-0.0196150728974627,-0.408564939749379,0.266701935322984
"17","Kafy","ITN_IRS",33,0.4,0.2,0.8,0.381968112241843,-0.00513056640648365,0.637870245517056
"18","Marbiah","ITN",15,0.275210084033613,0.275210084033613,0.275210084033613,0.161548487823841,0.135773343939916,0.189241746928919
"19","Philips-Howard","ITN",22,0.367704280155642,0.367704280155642,0.367704280155642,0.284397323865885,0.332103063830513,NA
"20","Philips-Howard","ITN",40,0.135549872122762,0.135549872122762,0.135549872122762,0.102384699738371,0.192972650824065,NA
"21","Protopopoff","PBO_ITN",4,0.174774774774775,0.174774774774775,0.174774774774775,0.208502426787942,0.126886802952043,0.307292668903979
"22","Protopopoff","PBO_ITN",9,0.437613019891501,0.437613019891501,0.437613019891501,0.289868412397781,0.176183715707231,0.414853033248684
"23","Protopopoff","PBO_ITN",16,0.343396226415094,0.343396226415094,0.343396226415094,0.133475783868382,0.054203268456056,0.243839459009925
"24","Protopopoff","PBO_ITN",21,0.325,0.325,0.325,0.143602943343828,0.0580475549741779,0.254888420170866
"25","Protopopoff","ITN_IRS",4,0.304504504504505,0.304504504504505,0.304504504504505,0.15625311837106,0.110706760778806,0.206055105745967
"26","Protopopoff","ITN_IRS",9,0.522603978300181,0.522603978300181,0.522603978300181,0.376869555606645,0.308127600390582,0.436763315695131
"27","Protopopoff","ITN_IRS",16,0.247169811320755,0.247169811320755,0.247169811320755,0.0958318640854351,0.0443065242021415,0.154573984095958
"28","Protopopoff","ITN_IRS",21,0.189705882352941,0.189705882352941,0.189705882352941,0.0331517120146541,-0.0258290523340788,0.0953038165123291
"29","Protopopoff","PBO_ITN_IRS",4,0.324324324324324,0.324324324324324,0.324324324324324,0.344619334257544,0.270485454181227,0.453788430791922
"30","Protopopoff","PBO_ITN_IRS",9,0.482820976491863,0.482820976491863,0.482820976491863,0.579320621788325,0.509673466096685,0.664929625223008
"31","Protopopoff","PBO_ITN_IRS",16,0.450943396226415,0.450943396226415,0.450943396226415,0.378707032936731,0.243154540582825,0.569725171540886
"32","Protopopoff","PBO_ITN_IRS",21,0.357352941176471,0.357352941176471,0.357352941176471,0.287737069835423,0.161923070871599,0.471687863538062
"33","West","ITN_IRS",11,0.408695652173913,0.0721087760887299,0.662499380315206,0.331053644422611,0.237448115482205,0.415237147737362
"34","West","ITN_IRS",15,0.576666666666667,0.345416514747366,0.867379248143386,0.506620483199324,0.424449828251233,0.574909136266815
"35","West","ITN_IRS",19,0.441666666666667,0.026773522770881,0.745196383789524,0.274850291385173,0.16082643171413,0.380775271974369
"36","Chaccour","ITN_IRS",17,0.209302325581395,0.209302325581395,0.209302325581395,0.428437890265698,0.285876775124698,0.649646408371534
"37","Staedke","PBO_ITN",12,0.262068965517241,0.262068965517241,0.262068965517241,0.0436071582008181,-0.15138604137307,0.251814844968104
"38","Staedke","PBO_ITN",18,0.184615384615385,0.184615384615385,0.184615384615385,0.0356262323270811,-0.237902997525743,0.290563733113844
"39","Staedke","PBO_ITN",24,0.157142857142857,0.157142857142857,0.157142857142857,-0.0512546833068125,-0.346249416561335,0.237251176879955
"40","Nevill","ITN",20,0.571428571428571,0.571428571428571,0.571428571428571,0.428437890265698,0.285876775124698,0.649646408371534
"41","Nevill","ITN",24,0.52755905511811,0.52755905511811,0.52755905511811,0.428632317130347,0.294176202153263,0.65046443763124
"42","Nevill","ITN",27,0.321739130434783,0.321739130434783,0.321739130434783,0.438731330439273,0.292112409401235,0.664979853129602
"43","Bradley","IRS",3,0.0489130434782609,-0.320652173913043,0.331521739130435,-0.0395972969659667,-0.194965836792186,0.127447654359906
"44","Bradley","IRS",3,0.275862068965517,-0.064655172413793,0.521551724137931,-0.117583832622091,-0.299407770813158,0.0755077137009093
