"","PI","Intervention","MONTH_prev_observed","Obs_eff_mean","Obs_eff_min","Obs_eff_max","Pred_3_eff","Pred_3_eff_min","Pred_3_eff_max"
"1","Curtis","ITN",2,-0.00839328537170265,-0.00839328537170265,-0.00839328537170265,0.0430497982442292,0.059032777816534,0.0281452054090375
"2","Curtis","ITN",5,0.0715123094958968,0.0715123094958968,0.0715123094958968,0.0552080673985194,0.0720540501112368,0.0388961425775314
"3","Curtis","ITN",8,0.101591187270502,0.101591187270502,0.101591187270502,0.119741935999116,0.141591922655338,0.0979680854108253
"4","Curtis","ITN",11,0.106666666666667,0.106666666666667,0.106666666666667,0.130940905779231,0.1531551301535,0.108091780938527
"5","Curtis","IRS",2,0.0863309352517985,0.0863309352517985,0.0863309352517985,0.219706343465793,0.2386919470258,0.199031731403527
"6","Curtis","IRS",5,0.0609613130128956,0.0609613130128956,0.0609613130128956,0.259078254738199,0.295013889395431,0.222098240879196
"7","Curtis","IRS",8,0.106487148102815,0.106487148102815,0.106487148102815,0.360899603546716,0.399250186180638,0.32285106946551
"8","Curtis","IRS",11,0.0562962962962963,0.0562962962962963,0.0562962962962963,0.542689521873349,0.578633050251244,0.504056171181208
"9","D'Alessandro","ITN",1,0.231607629427793,0.231607629427793,0.231607629427793,0.44576112804412,0.408276098581571,0.482998387634901
"10","D'Alessandro","ITN",1,0.309090909090909,0.309090909090909,0.309090909090909,0.512376692066624,0.470093425865171,0.553571400062901
"11","D'Alessandro","ITN",1,0.383720930232558,0.383720930232558,0.383720930232558,0.543816004774348,0.508534277755795,0.577705061252953
"12","D'Alessandro","ITN",1,0.191369606003752,0.191369606003752,0.191369606003752,0.233791911461747,0.202164092917875,0.26836102065322
"13","D'Alessandro","ITN",1,-0.588366890380313,-0.588366890380313,-0.588366890380313,0.156445413715668,0.132177909253181,0.182943837450337
"14","Henry","ITN",48,0.0476190476190475,0.122619047619048,-0.0357142857142857,-0.0232589479758034,-0.0392180774703537,-0.00709106243194614
"15","Henry","ITN",48,0.173722627737226,0.226277372262774,0.121167883211679,0.419717656369609,0.383644505942895,0.450200951596519
