"","PI","Intervention","Prev_obs","prev_obs_max","prev_obs_min","Prev_model","prev_model_max","prev_model_min"
"1","Corbel","ITN",0.2,0.24,0.16,0.253986,0.2757257,0.229997775
"2","Curtis","ITN_IRS",0.834,0.834,0.834,0.817349,0.805678075,0.827649125
"3","Curtis","ITN_IRS",0.853,0.853,0.853,0.822522,0.8121994,0.83266365
"4","Curtis","ITN_IRS",0.817,0.817,0.817,0.7508505,0.73659305,0.764399875
"5","Curtis","ITN_IRS",0.675,0.675,0.675,0.7991685,0.784293275,0.81228605
"6","Curtis","ITN_IRS",0.841,0.841,0.841,0.7815435,0.76851305,0.793565225
"7","Curtis","ITN_IRS",0.792,0.792,0.792,0.776905,0.7631427,0.790656025
"8","Curtis","IRS",0.734,0.734,0.734,0.6613055,0.644585275,0.677249125
"9","Curtis","IRS",0.603,0.603,0.603,0.6937785,0.675015075,0.7114957
"10","Curtis","IRS",0.762,0.762,0.762,0.637736,0.620779675,0.654696525
"11","Curtis","IRS",0.801,0.801,0.801,0.6103115,0.580230225,0.639793925
"12","Curtis","IRS",0.73,0.73,0.73,0.4805305,0.451166625,0.50912515
"13","Curtis","IRS",0.637,0.637,0.637,0.36606,0.3371601,0.393962625
"14","D'Alessandro","None",0.367,0.367,0.367,0.380613,0.39680165,0.36400115
"15","D'Alessandro","None",0.33,0.33,0.33,0.317851,0.334397675,0.30292225
"16","D'Alessandro","None",0.258,0.258,0.258,0.389217,0.4069334,0.372899325
"17","D'Alessandro","None",0.533,0.533,0.533,0.5694395,0.58680085,0.55441025
"18","D'Alessandro","None",0.447,0.447,0.447,0.697581,0.7137528,0.682956
"19","D'Alessandro","ITN",0.282,0.282,0.282,0.225097,0.23928825,0.20979585
"20","D'Alessandro","ITN",0.228,0.228,0.228,0.166583,0.1811761,0.1537372
"21","D'Alessandro","ITN",0.159,0.159,0.159,0.190975,0.20511265,0.1772409
"22","D'Alessandro","ITN",0.431,0.431,0.431,0.4507515,0.4689147,0.43115175
"23","D'Alessandro","ITN",0.71,0.71,0.71,0.6005085,0.6182312,0.583118325
"24","Henry","None",0.685,0.721,0.649,0.7911955,0.8053371,0.778661825
"25","Henry","ITN",0.566,0.602,0.53,0.4581555,0.486854875,0.434716525
"26","Kafy","ITN",0.05,0.02,0.1,0.02760465,0.03748268,0.01960822
"27","Kafy","ITN",0.05,0.03,0.09,0.0207456,0.0298581425,0.01281623
"28","Kafy","ITN_IRS",0.04,0.02,0.07,0.02893045,0.03910203,0.0205489725
"29","Kafy","ITN_IRS",0.03,0.02,0.05,0.0131215,0.02153336,0.007078576
"30","Marbiah","None",0.476,0.476,0.476,0.5047625,0.5183465,0.48896835
"31","Marbiah","ITN",0.345,0.345,0.345,0.410308,0.42218995,0.3966995
"32","Philips-Howard","None",0.514,0.514,0.514,0.6936495,0.716774775,0.659791825
"33","Philips-Howard","None",0.391,0.391,0.391,0.341167,0.371249,0.304014825
"34","Philips-Howard","ITN",0.325,0.325,0.325,0.3215785,0.35004225,0.2855804
"35","Philips-Howard","ITN",0.338,0.338,0.338,0.2824755,0.312671,0.245501125
"36","Philips-Howard","ITN",0.325,0.325,0.325,0.440375,0.468386475,0.402014875
"37","Philips-Howard","ITN",0.338,0.338,0.338,0.293982,0.320200825,0.256934525
"38","Protopopoff","ITN",0.555,0.555,0.555,0.720136,0.749041475,0.680236225
"39","Protopopoff","ITN",0.553,0.553,0.553,0.5925385,0.627317625,0.54793245
"40","Protopopoff","ITN",0.53,0.53,0.53,0.7667905,0.7858933,0.739148425
"41","Protopopoff","ITN",0.68,0.68,0.68,0.655167,0.683267625,0.619727625
"42","Protopopoff","PBO_ITN",0.458,0.458,0.458,0.526978,0.5791784,0.458083625
"43","Protopopoff","PBO_ITN",0.311,0.311,0.311,0.4108965,0.4700887,0.3390723
"44","Protopopoff","PBO_ITN",0.348,0.348,0.348,0.692621,0.733344425,0.623377575
"45","Protopopoff","PBO_ITN",0.459,0.459,0.459,0.580556,0.625692775,0.51451385
"46","Protopopoff","ITN_IRS",0.386,0.386,0.386,0.51027,0.535066125,0.485094775
"47","Protopopoff","ITN_IRS",0.264,0.264,0.264,0.281815,0.307631375,0.25729685
"48","Protopopoff","ITN_IRS",0.399,0.399,0.399,0.6984645,0.7276003,0.661404475
"49","Protopopoff","ITN_IRS",0.551,0.551,0.551,0.6324115,0.66197065,0.598981775
"50","Protopopoff","PBO_ITN_IRS",0.375,0.375,0.375,0.399649,0.439751725,0.331552325
"51","Protopopoff","PBO_ITN_IRS",0.286,0.286,0.286,0.200109,0.2327615,0.15852575
"52","Protopopoff","PBO_ITN_IRS",0.291,0.291,0.291,0.5269585,0.610778675,0.379960125
"53","Protopopoff","PBO_ITN_IRS",0.437,0.437,0.437,0.502995,0.563744275,0.38732615
"54","West","ITN",0.23,0.342,0.154,0.2486755,0.2714798,0.224210975
"55","West","ITN",0.3,0.434,0.202,0.283408,0.3062977,0.2599786
"56","West","ITN",0.24,0.389,0.142,0.2409425,0.2609016,0.220523975
"57","West","ITN_IRS",0.136,0.214,0.083,0.1397635,0.158696125,0.120397075
"58","West","ITN_IRS",0.127,0.21,0.074,0.114858,0.133322475,0.09719558
"59","West","ITN_IRS",0.134,0.234,0.073,0.14288,0.1668285,0.11927195
"60","Chaccour","ITN",0.43,0.43,0.43,0.40068,0.4387456,0.32177695
"61","Chaccour","ITN_IRS",0.34,0.34,0.34,0.229518,0.281319,0.149127575
"62","Staedke","ITN",0.145,0.145,0.145,0.175646,0.21115255,0.138665175
"63","Staedke","ITN",0.13,0.13,0.13,0.1753335,0.215398,0.134816275
"64","Staedke","ITN",0.14,0.14,0.14,0.197842,0.239898475,0.152948775
"65","Staedke","PBO_ITN",0.107,0.107,0.107,0.1195975,0.14302225,0.09427566
"66","Staedke","PBO_ITN",0.106,0.106,0.106,0.07712785,0.0968341925,0.0570339125
"67","Staedke","PBO_ITN",0.118,0.118,0.118,0.0864583,0.11366595,0.05849486
"68","Nevill","None",0.392,0.392,0.392,0.40068,0.4387456,0.32177695
"69","Nevill","None",0.254,0.254,0.254,0.35156,0.3826661,0.2883631
"70","Nevill","None",0.115,0.115,0.115,0.261395,0.2922448,0.2052869
"71","Nevill","ITN",0.168,0.168,0.168,0.229518,0.281319,0.149127575
"72","Nevill","ITN",0.12,0.12,0.12,0.201001,0.243715625,0.12847045
"73","Nevill","ITN",0.078,0.078,0.078,0.147004,0.1814101,0.090851075
"74","Bradley","ITN",0.168,0.247,0.111,0.157938,0.18281425,0.12903705
"75","Bradley","ITN",0.232,0.323,0.16,0.1416785,0.1629755,0.11621635
